tree_size,count,instances,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,downtime_cost,travel_cost_S,travel_cost_M,gamma_LT,gamma_ST,param_signature,seed,iss_pool,oos_pool,nested_trees
1,4,1;3;5;6,17001363.708265506,5811903.5,11189460.208265506,0.0,5811903.5,11188382.569351034,0.0,1077.6389144730827,SOV|3:1,,bc278e7235743ec2,400,1-200,201-300,1
1,1,2,17177407.645499405,6003036.0,11174371.645499408,191132.5,5811903.5,11173112.963247301,181.04333763147824,1077.6389144730827,SOV|3:1,CTV|3|Nov:1,bc278e7235743ec2,400,1-200,201-300,1
1,3,4;9;10,17097715.631867547,6003036.0,11094679.631867547,191132.5,5811903.5,11092748.502932811,853.4900202626828,1077.6389144730827,SOV|3:1,CTV|3|Jan:1,bc278e7235743ec2,400,1-200,201-300,1
1,1,7,17868185.127725,6958887.0,10909298.127724996,1146983.5,5811903.5,10906483.334880395,896.5955768416061,1918.1972677620888,SOV|3:1,CTV|3|Jan:2;SOV|3|Feb:1,bc278e7235743ec2,400,1-200,201-300,1
1,1,8,17610721.842296835,6576622.0,11034099.842296833,764718.5,5811903.5,11032278.632531373,0.0,1821.209765459511,SOV|3:1,SOV|3|Nov:1,bc278e7235743ec2,400,1-200,201-300,1
3,5,1;5;6;8;9,17001363.708265506,5811903.5,11189460.208265506,0.0,5811903.5,11188382.569351034,0.0,1077.6389144730827,SOV|3:1,,bc278e7235743ec2,400,1-200,201-300,1
3,5,2;3;4;7;10,17097715.631867547,6003036.0,11094679.631867547,191132.5,5811903.5,11092748.502932811,853.4900202626828,1077.6389144730827,SOV|3:1,CTV|3|Jan:1,bc278e7235743ec2,400,1-200,201-300,1
5,7,1;2;3;4;5;8;9,17001363.708265506,5811903.5,11189460.208265506,0.0,5811903.5,11188382.569351034,0.0,1077.6389144730827,SOV|3:1,,bc278e7235743ec2,400,1-200,201-300,1
5,1,6,17610721.842296835,6576622.0,11034099.842296833,764718.5,5811903.5,11032278.632531373,0.0,1821.209765459511,SOV|3:1,SOV|3|Nov:1,bc278e7235743ec2,400,1-200,201-300,1
5,2,7;10,17097715.631867547,6003036.0,11094679.631867547,191132.5,5811903.5,11092748.502932811,853.4900202626828,1077.6389144730827,SOV|3:1,CTV|3|Jan:1,bc278e7235743ec2,400,1-200,201-300,1
