case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,max_multiday_vessels,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub
W1_B3_V5_S3_T12,tests/test03,A,3,1,20694003.46736881,0.0014787938688099475,19.09,112479,64561,1,SOV@1:1,Oct|CTV@1:1,A,"3,2,1",5,"769,560,308",12,30,True,10
W1_B3_V5_S3_T12,tests/test03,A,3,2,20340349.42331852,0.0019892427965270193,18.62,113026,64561,1,SOV@1:1,"Jan|CTV@1:1, Dec|CTV@1:1",A,"3,2,1",5,"544,314,501",12,30,True,10
W1_B3_V5_S3_T12,tests/test03,B,3,1,21845430.424916863,0.00138314328698362,85.76,115843,64561,2,SOV@2:1,Jan|CTV@2:4,B,"3,2,1",5,"769,560,308",12,30,True,10
W1_B3_V5_S3_T12,tests/test03,B,3,2,15955590.050744094,0.001986522628119009,27.89,115993,64561,2,SOV@2:1,Jan|CTV@2:1,B,"3,2,1",5,"544,314,501",12,30,True,10
W1_B3_V5_S3_T12,tests/test03,C,3,1,14536495.731250787,0.00196855941187585,22.07,113432,64561,3,SOV@3:1,none,C,"3,2,1",5,"769,560,308",12,30,True,10
W1_B3_V5_S3_T12,tests/test03,C,3,2,16491101.05540492,0.0011461730935940415,83.42,113496,64561,3,SOV@3:1,Jan|SOV@3:1,C,"3,2,1",5,"544,314,501",12,30,True,10
W2_B3_V5_S3_T12,tests/test03,BA,3,1,41915534.509492874,0.0018794517384590117,542.48,189271,85081,2,SOV@2:2,Jan|CTV@2:4,"B,A","3,2,1",5,"769,560,308",12,30,True,10
W2_B3_V5_S3_T12,tests/test03,BA,3,2,35213699.31465126,0.001984320512468704,1291.63,189968,85081,1,SOV@1:2,"Jan|CTV@1:1, Dec|CTV@1:1","B,A","3,2,1",5,"544,314,501",12,30,True,10
W2_B3_V5_S3_T12,tests/test03,CA,3,1,34932541.94677904,0.0019989961273191425,860.12,186860,85081,1,SOV@1:2,Oct|CTV@1:1,"C,A","3,2,1",5,"769,560,308",12,30,True,10
W2_B3_V5_S3_T12,tests/test03,CA,3,2,35907710.13206409,0.0019987925606955036,1174.22,187471,85081,1,SOV@1:2,Jan|CTV@1:1,"C,A","3,2,1",5,"544,314,501",12,30,True,10
W2_B3_V5_S3_T12,tests/test03,CB,3,1,35997894.67044642,0.001975918810817874,1760.01,190224,85081,2,SOV@2:2,Jan|CTV@2:3,"C,B","3,2,1",5,"769,560,308",12,30,True,10
W2_B3_V5_S3_T12,tests/test03,CB,3,2,31085891.35113104,0.0018960344090109868,1292.11,190438,85081,3,SOV@3:2,none,"C,B","3,2,1",5,"544,314,501",12,30,True,10
W3_B3_V5_S3_T12,tests/test03,CBA,3,1,55596872.254834265,0.0022075437872867607,21809.65,274452,105601,1,"CTV@1:1, SOV@1:2",Jan|CTV@1:2,"C,B,A","3,2,1",5,"769,560,308",12,30,True,10
