case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,max_multiday_vessels,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub_ST,n_vessels_ub_LT
W1_B3_V8_S5_T12,tests/5W3B,A,5,1,19785998.565493077,0.0002830793923754746,139.25,275529,153558,1,SOV@1:1,"Oct|CTV@1:1, Nov|CTV@1:2",A,"3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,A,5,2,18834275.614789464,0.0004942367449336197,857.7,275644,153558,1,SOV@1:1,none,A,"3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,B,5,1,15343022.50176102,0.000432947068396848,105.86,280935,153558,2,SOV@2:1,none,B,"3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,B,5,2,15538488.11482168,0.0004977661477403091,112.24,280887,153558,2,SOV@2:1,none,B,"3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,C,5,1,12831448.60674575,0.0004988320009374705,148.44,276779,153558,3,SOV@3:1,none,C,"3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,C,5,2,11421685.655745076,0.0004410462818809763,267.74,277208,153558,3,SOV@3:1,none,C,"3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,D,5,1,19998539.601758223,0.000496659403200879,100.36,273415,153558,1,SOV@1:1,"Oct|CTV@1:1, Nov|CTV@1:1",D,"3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,D,5,2,18847098.844231106,0.00047074006944694774,483.62,273516,153558,1,SOV@1:1,none,D,"3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,E,5,1,15353330.456371918,0.00041162182570128136,93.45,279533,153558,1,SOV@1:1,none,E,"3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,E,5,2,15550082.786869444,0.0004996537077844006,91.32,279429,153558,1,SOV@1:1,none,E,"3,2,1",8,"501,90,107,211,155",12,30,True,3,8
