case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,max_multiday_vessels,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub_ST,n_vessels_ub_LT
W1_B3_V8_S5_T12,tests/5W3B,A,5,1,19785998.565493077,0.001840472978941377,141.23,275529,153558,1,SOV@1:1,"Oct|CTV@1:1, Nov|CTV@1:2",A,"3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,A,5,2,18834275.614789464,0.0019575943474876424,162.5,275644,153558,1,SOV@1:1,none,A,"3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,B,5,1,15342845.70437573,0.0015021373328262492,126.12,280935,153558,2,SOV@2:1,none,B,"3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,B,5,2,15538201.482678149,0.001951388150774428,123.3,280887,153558,2,SOV@2:1,none,B,"3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,C,5,1,12830320.029475499,0.001965256801068325,129.0,276779,153558,3,SOV@3:1,none,C,"3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,C,5,2,11421691.22006165,0.001939953923942434,139.16,277208,153558,3,SOV@3:1,none,C,"3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,D,5,1,19998539.601758227,0.001981617172449984,130.15,273415,153558,1,SOV@1:1,"Oct|CTV@1:1, Nov|CTV@1:1",D,"3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,D,5,2,18848822.12856587,0.0018805842486756268,159.06,273516,153558,1,SOV@1:1,none,D,"3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,E,5,1,15353153.658986632,0.0016417286275713205,112.1,279533,153558,1,SOV@1:1,none,E,"3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W1_B3_V8_S5_T12,tests/5W3B,E,5,2,15548509.43728906,0.0019377583041786167,112.99,279429,153558,1,SOV@1:1,none,E,"3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,BA,5,1,34792331.95119923,0.0019810431726530724,1069.59,452655,193143,1,SOV@1:2,"Oct|CTV@1:1, Nov|CTV@1:1","B,A","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,BA,5,2,33634629.45163051,0.001356421167180666,1917.07,452722,193143,1,SOV@1:2,"Jan|CTV@1:1, Aug|CTV@1:1, Nov|CTV@1:1","B,A","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,CA,5,1,32243569.224127304,0.0018531716450367643,591.32,448499,193143,1,SOV@1:2,"Oct|CTV@1:1, Nov|CTV@1:1","C,A","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,CA,5,2,29531324.4180839,0.001983705163903015,923.62,449043,193143,3,SOV@3:2,none,"C,A","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,AD,5,1,40267648.43482927,0.001819675042722811,638.36,445135,193143,1,SOV@1:2,"Oct|CTV@1:1, Nov|CTV@1:3","A,D","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,AD,5,2,38075612.99360639,0.001988724110655253,679.75,445351,193143,1,SOV@1:2,"Aug|CTV@1:1, Dec|SOV@1:1","A,D","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,AE,5,1,35031880.49321279,0.001998139134735343,742.78,451253,193143,1,SOV@1:2,"Oct|CTV@1:1, Nov|CTV@1:2","A,E","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,AE,5,2,33411578.583362963,0.0019969373649111628,1374.66,451264,193143,1,SOV@1:2,"Jan|CTV@1:1, Aug|CTV@1:1, Dec|CTV@1:1","A,E","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,CB,5,1,28289313.246599585,0.0012815134504083258,792.09,453905,193143,3,SOV@3:2,none,"C,B","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,CB,5,2,26374788.514555175,0.0019356386260790134,1602.5,454286,193143,3,SOV@3:2,Oct|CTV@3:1,"C,B","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,BD,5,1,34898000.57816722,0.0019916418165033,568.74,450541,193143,1,SOV@1:2,Nov|CTV@1:1,"B,D","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,BD,5,2,33783968.61628156,0.001954569969420881,765.38,450594,193143,1,SOV@1:2,Aug|CTV@1:1,"B,D","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,BE,5,1,31442062.15473808,0.0019933531115756227,589.05,456659,193143,1,SOV@1:2,none,"B,E","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,BE,5,2,31323997.00522073,0.001976972407023912,728.07,456507,193143,1,SOV@1:2,none,"B,E","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,CD,5,1,32336311.109708533,0.0012081530957482698,568.52,446385,193143,1,SOV@1:2,Nov|CTV@1:1,"C,D","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,CD,5,2,29545272.904459298,0.0019969404529406294,812.3,446915,193143,3,SOV@3:2,none,"C,D","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,CE,5,1,28312797.784325585,0.0019978142063391217,804.09,452503,193143,3,SOV@3:2,none,"C,E","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,CE,5,2,26398011.325619407,0.0019940975966296318,1357.3,452828,193143,3,SOV@3:2,none,"C,E","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,DE,5,1,35202063.7591714,0.001993474955775471,622.04,449139,193143,1,SOV@1:2,"Oct|CTV@1:1, Nov|CTV@1:1","D,E","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W2_B3_V8_S5_T12,tests/5W3B,DE,5,2,33483657.93723235,0.0019359967391465148,1019.27,449136,193143,1,SOV@1:2,"Jan|CTV@1:1, Dec|CTV@1:1","D,E","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W3_B3_V8_S5_T12,tests/5W3B,CBA,5,1,46906835.03530595,0.001976693082353771,8380.9,654425,232728,1,"CTV@1:1, SOV@1:2",Nov|CTV@1:1,"C,B,A","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W3_B3_V8_S5_T12,tests/5W3B,CBA,5,2,43501939.30637376,0.0019860988306815604,7472.26,654921,232728,1,"CTV@1:1, SOV@1:2",Dec|SOV@1:1,"C,B,A","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W3_B3_V8_S5_T12,tests/5W3B,BAD,5,1,55330266.6978732,0.0013615909698212027,6549.69,651061,232728,1,"CTV@1:1, SOV@1:2","Jan|SOV@1:1, Nov|CTV@1:1;SOV@1:1, Dec|SOV@1:1","B,A,D","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W3_B3_V8_S5_T12,tests/5W3B,BAD,5,2,52496465.7098165,0.001964603006818275,7048.4,651229,232728,1,"CTV@1:1, SOV@1:2","Jan|CTV@1:1, Feb|SOV@1:1, Oct|SOV@1:1, Dec|SOV@1:1","B,A,D","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W3_B3_V8_S5_T12,tests/5W3B,BAE,5,1,49945706.94489692,0.0014727251753933479,5396.5,657179,232728,1,"CTV@1:1, SOV@1:2","Jan|SOV@1:1, Nov|CTV@1:1","B,A,E","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W3_B3_V8_S5_T12,tests/5W3B,BAE,5,2,48027063.13424222,0.001559319790156495,5406.35,657142,232728,1,"CTV@1:1, SOV@1:2","Jan|CTV@1:1, Oct|SOV@1:1, Nov|CTV@1:1, Dec|SOV@1:1","B,A,E","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
W3_B3_V8_S5_T12,tests/5W3B,CAD,5,1,52924490.12704577,0.0019982492004252247,3470.92,646905,232728,1,SOV@1:3,"Jan|CTV@1:1, Oct|CTV@1:1, Nov|CTV@1:2","C,A,D","3,2,1",8,"769,560,308,544,314",12,30,True,3,8
W3_B3_V8_S5_T12,tests/5W3B,CAD,5,2,48715274.49123074,0.001986729453067336,5507.42,647550,232728,3,SOV@3:3,Dec|CTV@3:1,"C,A,D","3,2,1",8,"501,90,107,211,155",12,30,True,3,8
