ISO3,date,price
DEU,2023-01-01,16.66
DEU,2023-01-02,112.24
DEU,2023-01-03,143.58
DEU,2023-01-04,55.2
DEU,2023-01-05,109.05
DEU,2023-01-06,116.87
DEU,2023-01-07,85.19
DEU,2023-01-08,68.69
DEU,2023-01-09,124.39
DEU,2023-01-10,121.65
DEU,2023-01-11,89.89
DEU,2023-01-12,68.27
DEU,2023-01-13,67.62
DEU,2023-01-14,30.59
DEU,2023-01-15,19.98
DEU,2023-01-16,135.51
DEU,2023-01-17,137.31
DEU,2023-01-18,148.05
DEU,2023-01-19,145.55
DEU,2023-01-20,181.42
DEU,2023-01-21,144.92
DEU,2023-01-22,150.06
DEU,2023-01-23,202.86
DEU,2023-01-24,202.75
DEU,2023-01-25,183.29
DEU,2023-01-26,165.72
DEU,2023-01-27,168.91
DEU,2023-01-28,146.7
DEU,2023-01-29,108.48
DEU,2023-01-30,69.23
DEU,2023-01-31,113.27
DEU,2023-02-01,91.56
DEU,2023-02-02,136.62
DEU,2023-02-03,104.01
DEU,2023-02-04,144.97
DEU,2023-02-05,122.3
DEU,2023-02-06,170.56
DEU,2023-02-07,173.7
DEU,2023-02-08,150.67
DEU,2023-02-09,132.21
DEU,2023-02-10,123.83
DEU,2023-02-11,106.06
DEU,2023-02-12,136.33
DEU,2023-02-13,163.58
DEU,2023-02-14,157.05
DEU,2023-02-15,143.33
DEU,2023-02-16,134.57
DEU,2023-02-17,77.54
DEU,2023-02-18,93.41
DEU,2023-02-19,109.01
DEU,2023-02-20,69.39
DEU,2023-02-21,125.72
DEU,2023-02-22,147.94
DEU,2023-02-23,146.01
DEU,2023-02-24,115.49
DEU,2023-02-25,89.62
DEU,2023-02-26,112.76
DEU,2023-02-27,148.84
DEU,2023-02-28,151.52
DEU,2023-03-01,142.06
DEU,2023-03-02,144.59
DEU,2023-03-03,134.82
DEU,2023-03-04,106.77
DEU,2023-03-05,119.55
DEU,2023-03-06,144.0
DEU,2023-03-07,108.5
DEU,2023-03-08,139.26
DEU,2023-03-09,128.91
DEU,2023-03-10,112.46
DEU,2023-03-11,101.99
DEU,2023-03-12,94.75
DEU,2023-03-13,43.63
DEU,2023-03-14,70.66
DEU,2023-03-15,124.47
DEU,2023-03-16,105.73
DEU,2023-03-17,96.69
DEU,2023-03-18,104.48
DEU,2023-03-19,102.55
DEU,2023-03-20,119.96
DEU,2023-03-21,112.5
DEU,2023-03-22,76.88
DEU,2023-03-23,75.73
DEU,2023-03-24,52.48
DEU,2023-03-25,14.9
DEU,2023-03-26,71.79
DEU,2023-03-27,85.01
DEU,2023-03-28,113.84
DEU,2023-03-29,115.85
DEU,2023-03-30,77.06
DEU,2023-03-31,96.3
DEU,2023-04-01,56.87
DEU,2023-04-02,65.23
DEU,2023-04-03,120.31
DEU,2023-04-04,134.17
DEU,2023-04-05,141.37
DEU,2023-04-06,122.41
DEU,2023-04-07,108.15
DEU,2023-04-08,117.67
DEU,2023-04-09,103.82
DEU,2023-04-10,49.31
DEU,2023-04-11,82.69
DEU,2023-04-12,105.66
DEU,2023-04-13,110.29
DEU,2023-04-14,129.55
DEU,2023-04-15,105.34
DEU,2023-04-16,110.12
DEU,2023-04-17,122.6
DEU,2023-04-18,108.67
DEU,2023-04-19,86.99
DEU,2023-04-20,111.31
DEU,2023-04-21,90.77
DEU,2023-04-22,84.84
DEU,2023-04-23,84.08
DEU,2023-04-24,101.85
DEU,2023-04-25,102.21
DEU,2023-04-26,112.03
DEU,2023-04-27,113.32
DEU,2023-04-28,106.8
DEU,2023-04-29,99.4
DEU,2023-04-30,76.46
DEU,2023-05-01,84.75
DEU,2023-05-02,104.65
DEU,2023-05-03,107.12
DEU,2023-05-04,96.88
DEU,2023-05-05,94.8
DEU,2023-05-06,87.69
DEU,2023-05-07,68.82
DEU,2023-05-08,96.7
DEU,2023-05-09,95.35
DEU,2023-05-10,108.98
DEU,2023-05-11,115.43
DEU,2023-05-12,100.42
DEU,2023-05-13,80.4
DEU,2023-05-14,78.22
DEU,2023-05-15,107.49
DEU,2023-05-16,80.52
DEU,2023-05-17,81.34
DEU,2023-05-18,81.89
DEU,2023-05-19,87.54
DEU,2023-05-20,50.36
DEU,2023-05-21,37.13
DEU,2023-05-22,95.95
DEU,2023-05-23,74.94
DEU,2023-05-24,100.6
DEU,2023-05-25,83.14
DEU,2023-05-26,69.85
DEU,2023-05-27,61.45
DEU,2023-05-28,28.92
DEU,2023-05-29,26.62
DEU,2023-05-30,82.85
DEU,2023-05-31,72.1
DEU,2023-06-01,71.33
DEU,2023-06-02,80.11
DEU,2023-06-03,55.84
DEU,2023-06-04,44.9
DEU,2023-06-05,88.76
DEU,2023-06-06,97.96
DEU,2023-06-07,101.02
DEU,2023-06-08,83.61
DEU,2023-06-09,84.59
DEU,2023-06-10,51.9
DEU,2023-06-11,37.32
DEU,2023-06-12,90.97
DEU,2023-06-13,91.82
DEU,2023-06-14,103.44
DEU,2023-06-15,119.84
DEU,2023-06-16,127.11
DEU,2023-06-17,100.95
DEU,2023-06-18,87.94
DEU,2023-06-19,122.57
DEU,2023-06-20,122.78
DEU,2023-06-21,126.25
DEU,2023-06-22,124.15
DEU,2023-06-23,107.53
DEU,2023-06-24,84.98
DEU,2023-06-25,74.49
DEU,2023-06-26,91.8
DEU,2023-06-27,102.91
DEU,2023-06-28,114.28
DEU,2023-06-29,117.04
DEU,2023-06-30,108.94
DEU,2023-07-01,57.93
DEU,2023-07-02,-30.14
DEU,2023-07-03,58.25
DEU,2023-07-04,86.39
DEU,2023-07-05,67.44
DEU,2023-07-06,108.6
DEU,2023-07-07,104.58
DEU,2023-07-08,80.75
DEU,2023-07-09,85.51
DEU,2023-07-10,111.71
DEU,2023-07-11,104.78
DEU,2023-07-12,87.62
DEU,2023-07-13,98.2
DEU,2023-07-14,96.54
DEU,2023-07-15,37.29
DEU,2023-07-16,21.37
DEU,2023-07-17,81.35
DEU,2023-07-18,105.52
DEU,2023-07-19,100.45
DEU,2023-07-20,97.03
DEU,2023-07-21,103.31
DEU,2023-07-22,74.52
DEU,2023-07-23,27.8
DEU,2023-07-24,90.52
DEU,2023-07-25,101.91
DEU,2023-07-26,95.0
DEU,2023-07-27,96.24
DEU,2023-07-28,97.21
DEU,2023-07-29,73.17
DEU,2023-07-30,28.92
DEU,2023-07-31,71.91
DEU,2023-08-01,80.97
DEU,2023-08-02,66.28
DEU,2023-08-03,51.11
DEU,2023-08-04,96.4
DEU,2023-08-05,86.99
DEU,2023-08-06,49.45
DEU,2023-08-07,22.58
DEU,2023-08-08,25.37
DEU,2023-08-09,88.18
DEU,2023-08-10,103.88
DEU,2023-08-11,101.57
DEU,2023-08-12,79.26
DEU,2023-08-13,66.28
DEU,2023-08-14,105.29
DEU,2023-08-15,96.14
DEU,2023-08-16,112.46
DEU,2023-08-17,109.45
DEU,2023-08-18,107.03
DEU,2023-08-19,84.64
DEU,2023-08-20,86.65
DEU,2023-08-21,120.24
DEU,2023-08-22,124.53
DEU,2023-08-23,141.16
DEU,2023-08-24,141.02
DEU,2023-08-25,118.79
DEU,2023-08-26,95.95
DEU,2023-08-27,99.8
DEU,2023-08-28,119.08
DEU,2023-08-29,125.48
DEU,2023-08-30,114.68
DEU,2023-08-31,104.25
DEU,2023-09-01,111.47
DEU,2023-09-02,95.88
DEU,2023-09-03,82.91
DEU,2023-09-04,107.01
DEU,2023-09-05,105.45
DEU,2023-09-06,105.98
DEU,2023-09-07,100.77
DEU,2023-09-08,108.15
DEU,2023-09-09,93.72
DEU,2023-09-10,86.88
DEU,2023-09-11,135.97
DEU,2023-09-12,134.15
DEU,2023-09-13,109.39
DEU,2023-09-14,123.61
DEU,2023-09-15,109.49
DEU,2023-09-16,94.46
DEU,2023-09-17,79.82
DEU,2023-09-18,88.39
DEU,2023-09-19,43.73
DEU,2023-09-20,56.23
DEU,2023-09-21,103.93
DEU,2023-09-22,105.57
DEU,2023-09-23,95.34
DEU,2023-09-24,66.44
DEU,2023-09-25,109.42
DEU,2023-09-26,131.72
DEU,2023-09-27,126.84
DEU,2023-09-28,113.66
DEU,2023-09-29,105.35
DEU,2023-09-30,92.47
DEU,2023-10-01,77.27
DEU,2023-10-02,116.45
DEU,2023-10-03,21.52
DEU,2023-10-04,72.72
DEU,2023-10-05,100.41
DEU,2023-10-06,68.77
DEU,2023-10-07,49.66
DEU,2023-10-08,89.77
DEU,2023-10-09,107.18
DEU,2023-10-10,108.09
DEU,2023-10-11,62.53
DEU,2023-10-12,126.95
DEU,2023-10-13,58.0
DEU,2023-10-14,27.43
DEU,2023-10-15,46.37
DEU,2023-10-16,137.1
DEU,2023-10-17,130.54
DEU,2023-10-18,93.56
DEU,2023-10-19,94.59
DEU,2023-10-20,80.39
DEU,2023-10-21,52.96
DEU,2023-10-22,58.26
DEU,2023-10-23,123.56
DEU,2023-10-24,118.17
DEU,2023-10-25,123.73
DEU,2023-10-26,124.28
DEU,2023-10-27,118.76
DEU,2023-10-28,77.22
DEU,2023-10-29,26.95
DEU,2023-10-30,103.06
DEU,2023-10-31,103.73
DEU,2023-11-01,60.57
DEU,2023-11-02,58.29
DEU,2023-11-03,62.02
DEU,2023-11-04,24.95
DEU,2023-11-05,24.71
DEU,2023-11-06,68.28
DEU,2023-11-07,97.15
DEU,2023-11-08,90.13
DEU,2023-11-09,98.16
DEU,2023-11-10,96.44
DEU,2023-11-11,97.2
DEU,2023-11-12,99.55
DEU,2023-11-13,95.55
DEU,2023-11-14,67.08
DEU,2023-11-15,101.88
DEU,2023-11-16,118.14
DEU,2023-11-17,120.33
DEU,2023-11-18,88.64
DEU,2023-11-19,35.51
DEU,2023-11-20,103.26
DEU,2023-11-21,123.31
DEU,2023-11-22,110.1
DEU,2023-11-23,60.9
DEU,2023-11-24,64.24
DEU,2023-11-25,96.17
DEU,2023-11-26,115.67
DEU,2023-11-27,121.1
DEU,2023-11-28,121.47
DEU,2023-11-29,138.08
DEU,2023-11-30,168.04
DEU,2023-12-01,159.45
DEU,2023-12-02,119.82
DEU,2023-12-03,104.96
DEU,2023-12-04,120.63
DEU,2023-12-05,115.15
DEU,2023-12-06,133.46
DEU,2023-12-07,117.08
DEU,2023-12-08,104.02
DEU,2023-12-09,73.37
DEU,2023-12-10,54.13
DEU,2023-12-11,87.33
DEU,2023-12-12,105.73
DEU,2023-12-13,93.65
DEU,2023-12-14,108.02
DEU,2023-12-15,92.45
DEU,2023-12-16,70.37
DEU,2023-12-17,51.96
DEU,2023-12-18,77.29
DEU,2023-12-19,76.25
DEU,2023-12-20,59.36
DEU,2023-12-21,26.89
DEU,2023-12-22,20.34
DEU,2023-12-23,29.03
DEU,2023-12-24,-5.08
DEU,2023-12-25,-0.6
DEU,2023-12-26,18.25
DEU,2023-12-27,59.28
DEU,2023-12-28,20.27
DEU,2023-12-29,6.92
DEU,2023-12-30,33.49
DEU,2023-12-31,8.16
DEU,2024-01-01,14.71
DEU,2024-01-02,55.77
DEU,2024-01-03,45.42
DEU,2024-01-04,85.26
DEU,2024-01-05,92.17
DEU,2024-01-06,87.23
DEU,2024-01-07,84.66
DEU,2024-01-08,102.22
DEU,2024-01-09,111.24
DEU,2024-01-10,113.49
DEU,2024-01-11,109.39
DEU,2024-01-12,105.0
DEU,2024-01-13,73.44
DEU,2024-01-14,71.34
DEU,2024-01-15,87.45
DEU,2024-01-16,99.94
DEU,2024-01-17,99.76
DEU,2024-01-18,92.87
DEU,2024-01-19,79.41
DEU,2024-01-20,72.61
DEU,2024-01-21,45.92
DEU,2024-01-22,45.12
DEU,2024-01-23,53.3
DEU,2024-01-24,39.44
DEU,2024-01-25,77.99
DEU,2024-01-26,60.93
DEU,2024-01-27,67.5
DEU,2024-01-28,60.4
DEU,2024-01-29,77.9
DEU,2024-01-30,77.93
DEU,2024-01-31,73.35
DEU,2024-02-01,70.7
DEU,2024-02-02,61.44
DEU,2024-02-03,34.73
DEU,2024-02-04,11.64
DEU,2024-02-05,45.89
DEU,2024-02-06,44.3
DEU,2024-02-07,79.21
DEU,2024-02-08,89.28
DEU,2024-02-09,70.86
DEU,2024-02-10,70.85
DEU,2024-02-11,60.78
DEU,2024-02-12,73.12
DEU,2024-02-13,72.65
DEU,2024-02-14,69.08
DEU,2024-02-15,71.0
DEU,2024-02-16,61.33
DEU,2024-02-17,66.83
DEU,2024-02-18,53.84
DEU,2024-02-19,65.42
DEU,2024-02-20,63.11
DEU,2024-02-21,56.31
DEU,2024-02-22,48.68
DEU,2024-02-23,44.01
DEU,2024-02-24,57.64
DEU,2024-02-25,58.14
DEU,2024-02-26,65.44
DEU,2024-02-27,74.88
DEU,2024-02-28,71.7
DEU,2024-02-29,62.88
DEU,2024-03-01,69.71
DEU,2024-03-02,62.73
DEU,2024-03-03,59.68
DEU,2024-03-04,76.02
DEU,2024-03-05,74.7
DEU,2024-03-06,82.95
DEU,2024-03-07,75.45
DEU,2024-03-08,61.64
DEU,2024-03-09,45.31
DEU,2024-03-10,39.62
DEU,2024-03-11,73.52
DEU,2024-03-12,83.88
DEU,2024-03-13,72.27
DEU,2024-03-14,66.4
DEU,2024-03-15,55.37
DEU,2024-03-16,48.34
DEU,2024-03-17,60.13
DEU,2024-03-18,79.37
DEU,2024-03-19,82.32
DEU,2024-03-20,90.54
DEU,2024-03-21,80.09
DEU,2024-03-22,67.36
DEU,2024-03-23,32.55
DEU,2024-03-24,22.18
DEU,2024-03-25,79.14
DEU,2024-03-26,65.97
DEU,2024-03-27,75.14
DEU,2024-03-28,49.61
DEU,2024-03-29,37.17
DEU,2024-03-30,46.56
DEU,2024-03-31,43.0
DEU,2024-04-01,23.65
DEU,2024-04-02,38.7
DEU,2024-04-03,81.57
DEU,2024-04-04,64.11
DEU,2024-04-05,47.3
DEU,2024-04-06,25.12
DEU,2024-04-07,24.1
DEU,2024-04-08,81.2
DEU,2024-04-09,53.49
DEU,2024-04-10,70.95
DEU,2024-04-11,62.8
DEU,2024-04-12,59.25
DEU,2024-04-13,16.36
DEU,2024-04-14,16.66
DEU,2024-04-15,58.23
DEU,2024-04-16,63.66
DEU,2024-04-17,106.92
DEU,2024-04-18,94.62
DEU,2024-04-19,56.99
DEU,2024-04-20,58.79
DEU,2024-04-21,56.08
DEU,2024-04-22,99.07
DEU,2024-04-23,96.26
DEU,2024-04-24,92.16
DEU,2024-04-25,91.65
DEU,2024-04-26,88.48
DEU,2024-04-27,58.56
DEU,2024-04-28,19.37
DEU,2024-04-29,83.52
DEU,2024-04-30,69.16
DEU,2024-05-01,3.47
DEU,2024-05-02,42.69
DEU,2024-05-03,75.26
DEU,2024-05-04,73.22
DEU,2024-05-05,51.49
DEU,2024-05-06,92.98
DEU,2024-05-07,93.85
DEU,2024-05-08,92.9
DEU,2024-05-09,62.03
DEU,2024-05-10,75.15
DEU,2024-05-11,55.37
DEU,2024-05-12,14.59
DEU,2024-05-13,53.24
DEU,2024-05-14,28.6
DEU,2024-05-15,41.25
DEU,2024-05-16,49.14
