ISO3,date,price
DEU,2023-01-01,16.66
GBR,2023-01-01,110.72
DEU,2023-01-02,112.24
GBR,2023-01-02,185.07
DEU,2023-01-03,143.58
GBR,2023-01-03,156.9
DEU,2023-01-04,55.2
GBR,2023-01-04,120.81
DEU,2023-01-05,109.05
GBR,2023-01-05,144.58
DEU,2023-01-06,116.87
GBR,2023-01-06,123.15
DEU,2023-01-07,85.19
GBR,2023-01-07,113.06
DEU,2023-01-08,68.69
GBR,2023-01-08,92.03
DEU,2023-01-09,124.39
GBR,2023-01-09,138.37
DEU,2023-01-10,121.65
GBR,2023-01-10,136.94
DEU,2023-01-11,89.89
GBR,2023-01-11,113.02
DEU,2023-01-12,68.27
GBR,2023-01-12,113.76
DEU,2023-01-13,67.62
GBR,2023-01-13,115.32
DEU,2023-01-14,30.59
GBR,2023-01-14,100.98
DEU,2023-01-15,19.98
GBR,2023-01-15,115.47
DEU,2023-01-16,135.51
GBR,2023-01-16,171.51
DEU,2023-01-17,137.31
GBR,2023-01-17,177.2
DEU,2023-01-18,148.05
GBR,2023-01-18,155.66
DEU,2023-01-19,145.55
GBR,2023-01-19,175.91
DEU,2023-01-20,181.42
GBR,2023-01-20,185.64
DEU,2023-01-21,144.92
GBR,2023-01-21,165.23
DEU,2023-01-22,150.06
GBR,2023-01-22,183.94
DEU,2023-01-23,202.86
GBR,2023-01-23,213.29
DEU,2023-01-24,202.75
GBR,2023-01-24,202.3
DEU,2023-01-25,183.29
GBR,2023-01-25,177.79
DEU,2023-01-26,165.72
GBR,2023-01-26,166.28
DEU,2023-01-27,168.91
GBR,2023-01-27,179.91
DEU,2023-01-28,146.7
GBR,2023-01-28,160.34
DEU,2023-01-29,108.48
GBR,2023-01-29,152.78
DEU,2023-01-30,69.23
GBR,2023-01-30,144.73
DEU,2023-01-31,113.27
GBR,2023-01-31,147.22
DEU,2023-02-01,91.56
GBR,2023-02-01,140.88
DEU,2023-02-02,136.62
GBR,2023-02-02,146.43
DEU,2023-02-03,104.01
GBR,2023-02-03,145.8
DEU,2023-02-04,144.97
GBR,2023-02-04,155.72
DEU,2023-02-05,122.3
GBR,2023-02-05,156.37
DEU,2023-02-06,170.56
GBR,2023-02-06,176.11
DEU,2023-02-07,173.7
GBR,2023-02-07,192.6
DEU,2023-02-08,150.67
GBR,2023-02-08,163.45
DEU,2023-02-09,132.21
GBR,2023-02-09,163.54
DEU,2023-02-10,123.83
GBR,2023-02-10,158.41
