speed,power
2.999999831,70.021377
3.499999916,301.9937
4,595.088475
4.500000084,964.887394
4.750000126,1185.081978
5.000000169,1429.216889
5.249999874,1695.245223
5.999999663,2656.263808
6.199999966,2957.216831
6.40000027,3275.743373
6.499999747,3442.669566
6.55000016,3528.654678
6.599999899,3614.989064
6.700000051,3791.164267
6.800000202,3971.967845
6.900000354,4155.58904
6.919999845,4192.387051
6.929999928,4210.773549
6.94000001,4228.841377
6.950000093,4247.186435
6.960000175,4265.458105
6.969999584,4283.898392
6.980000341,4301.948494
6.989999749,4320.289911
6.999999831,4339.296326
7.499999916,5338.82324
8,6481.116995
8.500000084,7774.570984
9.000000169,9229.227024
9.500000253,10855.04374
10.00000034,12661.25448
10.2499997,13638.148
10.49999975,14660.65727
10.60000057,14994.84635
10.70000005,14994.64979
10.72000022,14994.61195
10.73999971,14994.55374
10.76000055,14994.52082
10.78000004,14994.55424
10.78400034,14994.52965
10.78600049,14994.53211
10.78699989,14994.53141
10.78799997,14994.51543
10.78899937,14994.52466
10.78950042,14994.59142
10.8000002,14994.53984
10.89999968,14994.4265
10.99999983,14994.26629
11.24999987,14994.02192
11.50000059,14994.10762
11.75000063,14994.17514
11.99999933,14994.17331
12.99999949,14994.76256
13.99999966,14994.76121
14.99999983,14994.75771
17.50000025,14994.82665
20.00000067,14994.82754
22.49999975,14996.27008
24.99999882,14997.62687
