date,ISO3,price
2023-01-01,DNK,19.58
2023-01-01,DEU,16.66
2023-01-01,NLD,22.87
2023-01-01,GBR,110.72
2023-01-02,DNK,126.08
2023-01-02,DEU,112.24
2023-01-02,NLD,131.92
2023-01-02,GBR,185.07
2023-01-03,DNK,139.94
2023-01-03,DEU,143.58
2023-01-03,NLD,143.78
2023-01-03,GBR,156.9
2023-01-04,DNK,61.17
2023-01-04,DEU,55.2
2023-01-04,NLD,96.78
2023-01-04,GBR,120.81
2023-01-05,DNK,113.11
2023-01-05,DEU,109.05
2023-01-05,NLD,123.2
2023-01-05,GBR,144.58
2023-01-06,DNK,112.1
2023-01-06,DEU,116.87
2023-01-06,NLD,129.21
2023-01-06,GBR,123.15
2023-01-07,DNK,82.99
2023-01-07,DEU,85.19
2023-01-07,NLD,82.78
2023-01-07,GBR,113.06
2023-01-08,DNK,62.41
2023-01-08,DEU,68.69
2023-01-08,NLD,71.36
2023-01-08,GBR,92.03
2023-01-09,DNK,128.69
2023-01-09,DEU,124.39
2023-01-09,NLD,130.34
2023-01-09,GBR,138.37
2023-01-10,DNK,118.62
2023-01-10,DEU,121.65
2023-01-10,NLD,126.06
2023-01-10,GBR,136.94
2023-01-11,DNK,75.02
2023-01-11,DEU,89.89
2023-01-11,NLD,87.9
2023-01-11,GBR,113.02
2023-01-12,DNK,68.99
2023-01-12,DEU,68.27
2023-01-12,NLD,85.98
2023-01-12,GBR,113.76
2023-01-13,DNK,67.33
2023-01-13,DEU,67.62
2023-01-13,NLD,84.96
2023-01-13,GBR,115.32
2023-01-14,DNK,41.68
2023-01-14,DEU,30.59
2023-01-14,NLD,91.33
2023-01-14,GBR,100.98
2023-01-15,DNK,15.24
2023-01-15,DEU,19.98
2023-01-15,NLD,78.18
2023-01-15,GBR,115.47
2023-01-16,DNK,115.77
2023-01-16,DEU,135.51
2023-01-16,NLD,134.98
2023-01-16,GBR,171.51
2023-01-17,DNK,101.46
2023-01-17,DEU,137.31
2023-01-17,NLD,137.17
2023-01-17,GBR,177.2
2023-01-18,DNK,126.52
2023-01-18,DEU,148.05
2023-01-18,NLD,131.45
2023-01-18,GBR,155.66
2023-01-19,DNK,142.82
2023-01-19,DEU,145.55
2023-01-19,NLD,147.59
2023-01-19,GBR,175.91
2023-01-20,DNK,180.54
2023-01-20,DEU,181.42
2023-01-20,NLD,177.91
2023-01-20,GBR,185.64
2023-01-21,DNK,141.52
2023-01-21,DEU,144.92
2023-01-21,NLD,148.53
2023-01-21,GBR,165.23
2023-01-22,DNK,139.52
2023-01-22,DEU,150.06
2023-01-22,NLD,151.66
2023-01-22,GBR,183.94
2023-01-23,DNK,203.13
2023-01-23,DEU,202.86
2023-01-23,NLD,202.55
2023-01-23,GBR,213.29
2023-01-24,DNK,196.46
2023-01-24,DEU,202.75
2023-01-24,NLD,198.62
2023-01-24,GBR,202.3
2023-01-25,DNK,131.5
2023-01-25,DEU,183.29
2023-01-25,NLD,175.9
2023-01-25,GBR,177.79
2023-01-26,DNK,142.84
2023-01-26,DEU,165.72
2023-01-26,NLD,146.91
2023-01-26,GBR,166.28
2023-01-27,DNK,165.33
2023-01-27,DEU,168.91
2023-01-27,NLD,166.29
2023-01-27,GBR,179.91
2023-01-28,DNK,102.35
2023-01-28,DEU,146.7
2023-01-28,NLD,140.2
2023-01-28,GBR,160.34
2023-01-29,DNK,67.94
2023-01-29,DEU,108.48
2023-01-29,NLD,123.34
2023-01-29,GBR,152.78
2023-01-30,DNK,54.43
2023-01-30,DEU,69.23
2023-01-30,NLD,107.53
2023-01-30,GBR,144.73
2023-01-31,DNK,89.33
2023-01-31,DEU,113.27
2023-01-31,NLD,132.69
2023-01-31,GBR,147.22
2023-02-01,DNK,92.43
2023-02-01,DEU,91.56
2023-02-01,NLD,109.16
2023-02-01,GBR,140.88
2023-02-02,DNK,137.25
2023-02-02,DEU,136.62
2023-02-02,NLD,140.36
2023-02-02,GBR,146.43
2023-02-03,DNK,100.98
2023-02-03,DEU,104.01
2023-02-03,NLD,140.18
2023-02-03,GBR,145.8
2023-02-04,DNK,143.17
2023-02-04,DEU,144.97
2023-02-04,NLD,151.15
2023-02-04,GBR,155.72
2023-02-05,DNK,113.51
2023-02-05,DEU,122.3
2023-02-05,NLD,130.76
2023-02-05,GBR,156.37
2023-02-06,DNK,172.69
