case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,max_multiday_vessels,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub
W1_B3_V5_S1_T12,tests\test01,A,1,1,24280595.98657528,0.00044168225119198495,0.6,37717,21718,1,"CTV@1:1, SOV@1:2",none,A,"3,2,1",5,769,12,30,True,10
W1_B3_V5_S1_T12,tests\test01,A,1,2,30536081.80865486,0.0018234086335300618,0.49,37552,21718,1,"CTV@1:1, SOV@1:2",none,A,"3,2,1",5,560,12,30,True,10
W1_B3_V5_S1_T12,tests\test01,B,1,1,18508234.383156464,6.038323626134978e-16,0.64,39171,21718,1,"CTV@1:1, SOV@1:2",none,B,"3,2,1",5,769,12,30,True,10
W1_B3_V5_S1_T12,tests\test01,B,1,2,23540137.318817303,0.0007603756059087443,0.51,38543,21718,1,"CTV@1:1, SOV@1:2",none,B,"3,2,1",5,560,12,30,True,10
W1_B3_V5_S1_T12,tests\test01,C,1,1,18311214.784723483,0.0003008793174298601,0.59,37881,21718,1,"CTV@1:1, SOV@1:2",none,C,"3,2,1",5,769,12,30,True,10
W1_B3_V5_S1_T12,tests\test01,C,1,2,15757779.11173855,0.0001664926971587353,0.55,38216,21718,1,"CTV@1:1, SOV@1:2",none,C,"3,2,1",5,560,12,30,True,10
W2_B3_V5_S1_T12,tests\test01,BA,1,1,31948625.737587143,0.0002373000565555557,1.1,63697,28558,1,"CTV@1:1, SOV@1:2",none,"B,A","3,2,1",5,769,12,30,True,10
W2_B3_V5_S1_T12,tests\test01,BA,1,2,46819319.039261356,0.00011433180202578034,1.29,62904,28558,1,"CTV@1:1, SOV@1:2",none,"B,A","3,2,1",5,560,12,30,True,10
W2_B3_V5_S1_T12,tests\test01,CA,1,1,32132069.952019326,0.0013608992698837692,1.18,62407,28558,1,"CTV@1:1, SOV@1:2",none,"C,A","3,2,1",5,769,12,30,True,10
W2_B3_V5_S1_T12,tests\test01,CA,1,2,38907434.52168803,0.0011809180220573054,1.13,62577,28558,1,"CTV@1:1, SOV@1:2",none,"C,A","3,2,1",5,560,12,30,True,10
W2_B3_V5_S1_T12,tests\test01,CB,1,1,27878751.86194088,0.0005330097268530943,1.16,63861,28558,1,"CTV@1:1, SOV@1:2",none,"C,B","3,2,1",5,769,12,30,True,10
W2_B3_V5_S1_T12,tests\test01,CB,1,2,29846197.53327785,0.0019447817444058684,1.15,63568,28558,1,"CTV@1:1, SOV@1:2",none,"C,B","3,2,1",5,560,12,30,True,10
W3_B3_V5_S1_T12,tests\test01,CBA,1,1,47040943.42729613,0.0018888615605088094,14.05,91987,35398,1,"CTV@1:1, SOV@1:2",none,"C,B,A","3,2,1",5,769,12,30,True,10
W3_B3_V5_S1_T12,tests\test01,CBA,1,2,54713260.17322848,0.0019917983716547156,13.77,91529,35398,1,"CTV@1:1, SOV@1:2",none,"C,B,A","3,2,1",5,560,12,30,True,10
