Date,Price (EUR/MWhe)
2024-01-01,14.71
2024-01-02,55.77
2024-01-03,45.42
2024-01-04,85.26
2024-01-05,92.17
2024-01-06,87.23
2024-01-07,84.66
2024-01-08,102.22
2024-01-09,111.24
2024-01-10,113.49
2024-01-11,109.39
2024-01-12,105.0
2024-01-13,73.44
2024-01-14,71.34
2024-01-15,87.45
2024-01-16,99.94
2024-01-17,99.76
2024-01-18,92.87
2024-01-19,79.41
2024-01-20,72.61
2024-01-21,45.92
2024-01-22,45.12
2024-01-23,53.3
2024-01-24,39.44
2024-01-25,77.99
2024-01-26,60.93
2024-01-27,67.5
2024-01-28,60.4
2024-01-29,77.9
2024-01-30,77.93
2024-01-31,73.35
2024-02-01,70.7
2024-02-02,61.44
2024-02-03,34.73
2024-02-04,11.64
2024-02-05,45.89
2024-02-06,44.3
2024-02-07,79.21
2024-02-08,89.28
2024-02-09,70.86
2024-02-10,70.85
2024-02-11,60.78
2024-02-12,73.12
2024-02-13,72.65
2024-02-14,69.08
2024-02-15,71.0
2024-02-16,61.33
2024-02-17,66.83
2024-02-18,53.84
2024-02-19,65.42
2024-02-20,63.11
2024-02-21,56.31
2024-02-22,48.68
2024-02-23,44.01
2024-02-24,57.64
2024-02-25,58.14
2024-02-26,65.44
2024-02-27,74.88
2024-02-28,71.7
2024-02-29,62.88
2024-03-01,69.71
2024-03-02,62.73
2024-03-03,59.68
2024-03-04,76.02
2024-03-05,74.7
2024-03-06,82.95
2024-03-07,75.45
2024-03-08,61.64
2024-03-09,45.31
2024-03-10,39.62
2024-03-11,73.52
2024-03-12,83.88
2024-03-13,72.27
2024-03-14,66.4
2024-03-15,55.37
2024-03-16,48.34
2024-03-17,60.13
2024-03-18,79.37
2024-03-19,82.32
2024-03-20,90.54
2024-03-21,80.09
2024-03-22,67.36
2024-03-23,32.55
2024-03-24,22.18
2024-03-25,79.14
2024-03-26,65.97
2024-03-27,75.14
2024-03-28,49.61
2024-03-29,37.17
2024-03-30,46.56
2024-03-31,43.0
2024-04-01,23.65
2024-04-02,38.7
2024-04-03,81.57
2024-04-04,64.11
2024-04-05,47.3
2024-04-06,25.12
2024-04-07,24.1
2024-04-08,81.2
2024-04-09,53.49
2024-04-10,70.95
2024-04-11,62.8
2024-04-12,59.25
2024-04-13,16.36
2024-04-14,16.66
2024-04-15,58.23
2024-04-16,63.66
2024-04-17,106.92
2024-04-18,94.62
2024-04-19,56.99
2024-04-20,58.79
2024-04-21,56.08
2024-04-22,99.07
2024-04-23,96.26
2024-04-24,92.16
2024-04-25,91.65
2024-04-26,88.48
2024-04-27,58.56
2024-04-28,19.37
2024-04-29,83.52
2024-04-30,69.16
2024-05-01,3.47
2024-05-02,42.69
2024-05-03,75.26
2024-05-04,73.22
2024-05-05,51.49
2024-05-06,92.98
2024-05-07,93.85
2024-05-08,92.9
2024-05-09,62.03
2024-05-10,75.15
2024-05-11,55.37
2024-05-12,14.59
2024-05-13,53.24
2024-05-14,28.6
2024-05-15,41.25
2024-05-16,49.14
2024-05-17,67.92
2024-05-18,56.07
2024-05-19,49.29
2024-05-20,56.21
2024-05-21,77.27
2024-05-22,86.9
2024-05-23,97.98
2024-05-24,102.61
2024-05-25,73.93
2024-05-26,58.36
2024-05-27,104.02
2024-05-28,91.3
2024-05-29,82.31
2024-05-30,92.65
2024-05-31,91.33
2024-06-01,54.71
2024-06-02,26.79
2024-06-03,103.46
2024-06-04,106.14
2024-06-05,84.2
2024-06-06,90.57
2024-06-07,83.39
2024-06-08,43.85
2024-06-09,27.6
2024-06-10,89.16
2024-06-11,63.54
2024-06-12,89.3
2024-06-13,94.44
2024-06-14,79.64
2024-06-15,9.01
2024-06-16,27.02
2024-06-17,95.31
2024-06-18,98.79
2024-06-19,82.79
2024-06-20,94.8
2024-06-21,94.47
2024-06-22,52.1
2024-06-23,52.08
2024-06-24,91.94
2024-06-25,82.39
2024-06-26,94.65
2024-06-27,95.91
2024-06-28,64.37
2024-06-29,65.18
2024-06-30,48.73
2024-07-01,91.86
2024-07-02,85.79
2024-07-03,88.58
2024-07-04,31.8
2024-07-05,43.75
2024-07-06,3.64
2024-07-07,32.02
2024-07-08,94.13
2024-07-09,74.65
2024-07-10,81.78
2024-07-11,90.94
2024-07-12,87.8
2024-07-13,30.81
2024-07-14,22.81
2024-07-15,78.3
2024-07-16,50.56
2024-07-17,75.51
2024-07-18,92.49
2024-07-19,85.7
2024-07-20,58.86
2024-07-21,53.99
2024-07-22,83.45
2024-07-23,80.88
2024-07-24,66.28
2024-07-25,81.0
2024-07-26,91.67
2024-07-27,80.4
2024-07-28,42.47
2024-07-29,76.79
2024-07-30,81.04
2024-07-31,80.78
2024-08-01,95.22
2024-08-02,95.26
2024-08-03,74.29
2024-08-04,60.77
2024-08-05,96.63
2024-08-06,88.11
2024-08-07,92.04
2024-08-08,92.89
2024-08-09,52.08
2024-08-10,49.24
2024-08-11,54.31
2024-08-12,88.47
2024-08-13,97.89
2024-08-14,111.9
2024-08-15,85.46
2024-08-16,104.72
2024-08-17,94.01
2024-08-18,82.47
2024-08-19,109.26
2024-08-20,89.47
2024-08-21,53.21
2024-08-22,61.82
2024-08-23,44.63
2024-08-24,39.2
2024-08-25,32.79
2024-08-26,100.02
2024-08-27,95.28
2024-08-28,95.48
2024-08-29,112.47
2024-08-30,110.03
2024-08-31,75.26
2024-09-01,58.1
2024-09-02,111.31
2024-09-03,144.09
2024-09-04,126.37
2024-09-05,63.21
2024-09-06,80.29
2024-09-07,79.41
2024-09-08,71.13
2024-09-09,103.63
2024-09-10,57.12
2024-09-11,87.77
2024-09-12,113.95
2024-09-13,87.32
2024-09-14,57.11
2024-09-15,62.79
2024-09-16,101.14
2024-09-17,88.11
2024-09-18,77.76
2024-09-19,76.9
2024-09-20,74.6
2024-09-21,69.17
2024-09-22,72.96
2024-09-23,114.98
2024-09-24,91.65
2024-09-25,79.51
2024-09-26,53.09
2024-09-27,16.16
2024-09-28,37.67
2024-09-29,57.81
2024-09-30,41.48
2024-10-01,74.56
2024-10-02,96.37
2024-10-03,77.39
2024-10-04,98.14
2024-10-05,86.49
2024-10-06,55.3
2024-10-07,86.44
2024-10-08,91.93
2024-10-09,81.57
2024-10-10,60.89
2024-10-11,92.59
2024-10-12,53.93
2024-10-13,14.41
2024-10-14,84.51
2024-10-15,91.52
2024-10-16,36.02
2024-10-17,77.29
2024-10-18,103.78
2024-10-19,80.61
2024-10-20,32.89
2024-10-21,54.75
2024-10-22,100.71
2024-10-23,113.14
2024-10-24,101.22
2024-10-25,113.59
2024-10-26,96.69
2024-10-27,83.23
2024-10-28,95.32
2024-10-29,136.15
2024-10-30,129.7
2024-10-31,102.32
2024-11-01,69.38
2024-11-02,105.0
2024-11-03,90.92
2024-11-04,130.58
2024-11-05,155.96
2024-11-06,225.5
2024-11-07,168.2
2024-11-08,114.03
2024-11-09,113.96
2024-11-10,111.44
2024-11-11,118.31
2024-11-12,166.93
2024-11-13,152.93
2024-11-14,123.99
2024-11-15,124.85
2024-11-16,90.15
2024-11-17,50.8
2024-11-18,99.45
2024-11-19,123.19
2024-11-20,114.72
2024-11-21,123.11
2024-11-22,110.36
2024-11-23,73.7
2024-11-24,7.98
2024-11-25,35.22
2024-11-26,113.78
2024-11-27,118.45
2024-11-28,72.35
2024-11-29,137.67
2024-11-30,105.53
2024-12-01,94.69
2024-12-02,109.23
2024-12-03,141.67
2024-12-04,183.39
2024-12-05,102.47
2024-12-06,89.76
2024-12-07,73.09
2024-12-08,91.32
2024-12-09,96.97
2024-12-10,147.33
2024-12-11,251.83
2024-12-12,357.85
2024-12-13,186.65
2024-12-14,98.48
2024-12-15,49.82
2024-12-16,56.34
2024-12-17,91.23
2024-12-18,53.94
2024-12-19,51.25
2024-12-20,73.56
2024-12-21,23.41
2024-12-22,21.42
2024-12-23,60.81
2024-12-24,100.91
2024-12-25,93.38
2024-12-26,108.23
2024-12-27,114.95
2024-12-28,121.17
2024-12-29,94.77
2024-12-30,77.54
2024-12-31,57.57
