,mean,mean,mean,std,std,std
,observed,simulated,relative_difference_pct,observed,simulated,relative_difference_pct
month,,,,,,
Jan,1.8060540196572579,1.755651131636912,-2.790774111502541,0.9912017781749259,0.9786755257300996,-1.2637439440323206
Feb,1.6306454000737465,1.5474530476305428,-5.101805238554088,0.9407795839530608,0.9145724789236134,-2.7856796083231146
Mar,1.291491246639785,1.2640054171857338,-2.128224215654896,0.7598738617004965,0.7487475103058392,-1.4642366260313322
Apr,1.114313142361111,1.063891777341111,-4.524882916947614,0.6415037220228565,0.5980576918689819,-6.7725297083041145
May,1.0234512726814515,1.0092325973943557,-1.3892869808879913,0.5519577927135937,0.5470997705561851,-0.8801437757631934
Jun,0.9619160677083334,0.9771404668090898,1.582715957435562,0.5510939848482566,0.540936715689399,-1.8431101478369984
Jul,0.9675985719086022,0.936529487799855,-3.2109477019445145,0.5595164142457035,0.5423944350850863,-3.060138849313244
Aug,1.020418153561828,0.9761119237003772,-4.341968016425158,0.6021531496782275,0.5824487674586035,-3.27232070946626
Sep,1.2539309939236112,1.2671503620407196,1.0542340990985792,0.7673927724098611,0.7648763589996272,-0.3279172674941343
Oct,1.5621001260080645,1.5326762520153987,-1.8836099877834507,0.8245646658911704,0.8243068851059661,-0.031262652387090556
Nov,1.6250535026041666,1.6718183294741304,2.87774075099821,0.8645932547074692,0.9055776073269278,4.740304460659424
Dec,1.8366736895161289,1.8837583366967918,2.563582603127908,0.9530397005482786,0.9776118121911923,2.578288357638987
