,mean,mean,mean,std,std,std
,observed,simulated,relative_difference_pct,observed,simulated,relative_difference_pct
month,,,,,,
Jan,9.352637626008065,9.182224442918338,-1.82208687970372,3.6768584895113023,3.689973548723002,0.35669197629204047
Feb,9.022455411135693,8.736383658966293,-3.17066407240234,3.6061563713253717,3.5559169620892637,-1.3931567037855193
Mar,7.721391994287634,7.651671773030308,-0.9029488634809139,3.3157260605391476,3.234957709958013,-2.4359174764878357
Apr,6.992132335069444,6.799531970613069,-2.754529737521939,2.9709940219974165,2.903908532817523,-2.2580149499860513
May,6.640285815692204,6.59309704965776,-0.7106435979446617,2.831428585202382,2.808964617718558,-0.7933792715530625
Jun,6.387904730902778,6.493923143281658,1.659674288284148,2.819418850556482,2.814028695832962,-0.19117963698285276
Jul,6.39785362063172,6.262083566644823,-2.1221187922941387,2.8940542750844034,2.812031031627981,-2.8341985208287213
Aug,6.716901898521505,6.518532004275157,-2.9532944986142025,2.9443511818034684,2.888654208095309,-1.891655249970699
Sep,7.486273676215277,7.631626098157753,1.9415857371642227,3.36492250659012,3.3472661235890984,-0.5247188595411062
Oct,8.844703704637096,8.812073474224984,-0.3689239515734644,3.327882247693546,3.3315374551693697,0.10983584164845772
Nov,8.936633346354167,9.102588247911699,1.8570181311649725,3.5077925705352535,3.4947997124207943,-0.37039984130180714
Dec,9.648701688508064,9.833057799328103,1.910683082259794,3.6022744623376353,3.5962808910927255,-0.16638297019212434
