metric,n_bins,bin,size,rank_start,rank_end,score_max,score_min,score_mean,unique_edge_scores_for_n,expected_edges
total_window_hours,5,1,300,1,300,3592.0,2963.0,3086.4733333333334,4,4
total_window_hours,5,2,300,301,600,2963.0,2822.0,2892.4533333333334,4,4
total_window_hours,5,3,300,601,900,2822.0,2692.0,2757.1066666666666,4,4
total_window_hours,5,4,300,901,1200,2692.0,2552.0,2627.4266666666667,4,4
total_window_hours,5,5,300,1201,1500,2552.0,1984.0,2412.9666666666667,4,4
total_window_hours,10,1,150,1,150,3592.0,3060.0,3164.6866666666665,9,9
total_window_hours,10,2,150,151,300,3058.0,2963.0,3008.26,9,9
total_window_hours,10,3,150,301,450,2963.0,2893.0,2926.5333333333333,9,9
total_window_hours,10,4,150,451,600,2893.0,2822.0,2858.3733333333334,9,9
total_window_hours,10,5,150,601,750,2822.0,2760.0,2787.9866666666667,9,9
total_window_hours,10,6,150,751,900,2760.0,2692.0,2726.2266666666665,9,9
total_window_hours,10,7,150,901,1050,2692.0,2627.0,2661.2266666666665,9,9
total_window_hours,10,8,150,1051,1200,2626.0,2552.0,2593.6266666666666,9,9
total_window_hours,10,9,150,1201,1350,2552.0,2442.0,2499.5533333333333,9,9
total_window_hours,10,10,150,1351,1500,2442.0,1984.0,2326.38,9,9
total_window_hours,15,1,100,1,100,3592.0,3107.0,3205.93,14,14
total_window_hours,15,2,100,101,200,3105.0,3026.0,3062.33,14,14
total_window_hours,15,3,100,201,300,3025.0,2963.0,2991.16,14,14
total_window_hours,15,4,100,301,400,2963.0,2912.0,2939.01,14,14
total_window_hours,15,5,100,401,500,2912.0,2874.0,2892.79,14,14
total_window_hours,15,6,100,501,600,2874.0,2822.0,2845.56,14,14
total_window_hours,15,7,100,601,700,2822.0,2776.0,2797.64,14,14
total_window_hours,15,8,100,701,800,2776.0,2736.0,2759.08,14,14
total_window_hours,15,9,100,801,900,2736.0,2692.0,2714.6,14,14
total_window_hours,15,10,100,901,1000,2692.0,2652.0,2672.43,14,14
total_window_hours,15,11,100,1001,1100,2651.0,2606.0,2628.18,14,14
total_window_hours,15,12,100,1101,1200,2606.0,2552.0,2581.67,14,14
total_window_hours,15,13,100,1201,1300,2552.0,2482.0,2518.51,14,14
total_window_hours,15,14,100,1301,1400,2481.0,2394.0,2439.69,14,14
total_window_hours,15,15,100,1401,1500,2391.0,1984.0,2280.7,14,14
