n_bins,bin,size,rank_start,rank_end,score_max,score_min,score_mean
5,1,300,1,300,-3.0,-6.0,-4.796666666666667
5,2,300,301,600,-6.0,-7.0,-6.346666666666667
5,3,300,601,900,-7.0,-8.0,-7.476666666666667
5,4,300,901,1200,-8.0,-10.0,-8.773333333333333
5,5,300,1201,1500,-10.0,-23.0,-12.103333333333333
10,1,150,1,150,-3.0,-5.0,-4.3
10,2,150,151,300,-5.0,-6.0,-5.293333333333333
10,3,150,301,450,-6.0,-6.0,-6.0
10,4,150,451,600,-6.0,-7.0,-6.693333333333333
10,5,150,601,750,-7.0,-7.0,-7.0
10,6,150,751,900,-7.0,-8.0,-7.953333333333333
10,7,150,901,1050,-8.0,-9.0,-8.3
10,8,150,1051,1200,-9.0,-10.0,-9.246666666666666
10,9,150,1201,1350,-10.0,-11.0,-10.486666666666666
10,10,150,1351,1500,-11.0,-23.0,-13.72
15,1,100,1,100,-3.0,-5.0,-3.95
15,2,100,101,200,-5.0,-5.0,-5.0
15,3,100,201,300,-5.0,-6.0,-5.44
15,4,100,301,400,-6.0,-6.0,-6.0
15,5,100,401,500,-6.0,-7.0,-6.04
15,6,100,501,600,-7.0,-7.0,-7.0
15,7,100,601,700,-7.0,-7.0,-7.0
15,8,100,701,800,-7.0,-8.0,-7.43
15,9,100,801,900,-8.0,-8.0,-8.0
15,10,100,901,1000,-8.0,-8.0,-8.0
15,11,100,1001,1100,-8.0,-9.0,-8.95
15,12,100,1101,1200,-9.0,-10.0,-9.37
15,13,100,1201,1300,-10.0,-11.0,-10.23
15,14,100,1301,1400,-11.0,-12.0,-11.43
15,15,100,1401,1500,-12.0,-23.0,-14.65
