wl_id,month,real_mean,syn_mean,mean_diff_%,real_std,syn_std,mean_std_%
2,Jan,19.46,19.52,0.33,10.35,10.77,4.13
2,Feb,16.88,18.12,7.36,12.02,11.08,-7.81
2,Mar,12.55,12.06,-3.93,8.70,8.29,-4.79
2,Apr,8.57,9.32,8.82,7.59,7.38,-2.70
2,May,8.55,7.99,-6.51,7.00,6.34,-9.34
2,Jun,7.85,7.47,-4.82,5.68,6.16,8.47
2,Jul,8.56,8.16,-4.68,6.42,6.16,-4.05
2,Aug,8.44,8.85,4.93,5.40,5.98,10.86
2,Sep,12.01,11.99,-0.12,7.69,7.93,3.07
2,Oct,16.11,15.94,-1.07,8.88,8.78,-1.12
2,Nov,17.28,18.62,7.78,10.34,10.35,0.06
2,Dec,17.20,17.21,0.06,9.87,11.99,21.48
