case_id,coalition,coalition_size,bases,wind_farm,n_turbines,count,downtime_cost,potential_revenue,value_based_availability,travel_cost_S,failures,completed_tasks,completion_ratio,avg_total_backlog,max_total_backlog,backlog_task_days,downtime_turbine_hours,potential_turbine_hours,backlog_task_days_per_turbine_day,time_based_availability,time_availability_proxy,value_availability_proxy,iss_scenarios,oos_scenarios,seed
base_oos_501_1500,B,1,3;5;6;7,B,70.0,1000,9610102.170674743,329579471.8353426,0.970841320555681,117215.96248646225,1043.41,1043.41,1.0,1.373847222222222,23.661,494.585,11870.04,604800.0,0.0196263888888888,0.9803736111111112,0.9803736111111112,0.970841320555681,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,C,1,3;5;6;7,C,80.0,1000,8441335.00466011,374136351.0733999,0.9774378111604448,141652.5023546,1191.344,1191.344,1.0,1.214227777777776,23.974,437.122,10490.928,691200.0,0.0151778472222222,0.9848221527777776,0.9848221527777776,0.9774378111604448,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,D,1,3;5;6;7,D,100.0,1000,10518577.925253227,467670438.8417495,0.9775085678895936,76193.11804997998,1489.019,1489.019,1.0,1.4931055555555568,29.187,537.518,12900.432,864000.0,0.0149310555555555,0.9850689444444444,0.9850689444444444,0.9775085678895936,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,E,1,3;5;6;7,E,70.0,1000,7205228.4832148,330767044.78713214,0.9782166071355392,184666.45569172755,1045.03,1045.03,1.0,0.9479694444444444,19.834,341.269,8190.456,604800.0,0.0135424206349206,0.9864575793650794,0.9864575793650794,0.9782166071355392,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,F,1,3;5;6;7,F,50.0,1000,5863222.856844139,236262174.8479518,0.9751834043658598,116199.99801055032,741.91,741.91,1.0,0.7827166666666653,15.916,281.778,6762.672,432000.0,0.0156543333333333,0.9843456666666668,0.9843456666666668,0.9751834043658598,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,G,1,3;5;6;7,G,60.0,1000,3655125.098134045,286727718.3380234,0.987252278505474,149496.37195658436,894.73,894.73,1.0,0.4709333333333337,12.968,169.536,4068.864,518400.0,0.0078488888888888,0.9921511111111112,0.9921511111111112,0.987252278505474,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BC,2,3;5;6;7,B,70.0,1000,10214788.128210612,329579471.8353426,0.969006600831881,149121.27441887502,1043.41,1043.41,1.0,1.4591194444426168,24.794,525.2829999993419,12606.791999984203,604800.0,0.0208445634920373,0.9791554365079628,0.9791554365079628,0.969006600831881,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BC,2,3;5;6;7,C,80.0,1000,9715651.792621937,374136351.0733999,0.9740317887723348,185885.7031700595,1191.344,1191.344,1.0,1.4182083333333326,25.228,510.555,12253.32,691200.0,0.0177276041666666,0.9822723958333334,0.9822723958333334,0.9740317887723348,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BD,2,3;5;6;7,B,70.0,1000,9851843.761615178,329579471.8353426,0.970107835579829,85960.055478022,1043.41,1043.41,1.0,1.392849999999578,25.145,501.4259999998489,12034.223999996371,604800.0,0.0198978571428511,0.9801021428571488,0.9801021428571488,0.970107835579829,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BD,2,3;5;6;7,D,100.0,1000,10559659.658579947,467670438.8417495,0.97742072454968,117441.89944286626,1489.019,1489.019,1.0,1.4908833333333351,29.493,536.718,12881.232,864000.0,0.0149088333333333,0.9850911666666666,0.9850911666666666,0.97742072454968,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BE,2,3;5;6;7,B,70.0,1000,9475676.816191236,329579471.8353426,0.9712491898739212,270133.2123707453,1043.41,1043.41,1.0,1.38323888888889,24.401,497.966,11951.184,604800.0,0.0197605555555555,0.9802394444444444,0.9802394444444444,0.9712491898739212,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BE,2,3;5;6;7,E,70.0,1000,7996413.415011117,330767044.78713214,0.975824636882561,303183.06863912405,1045.03,1045.03,1.0,1.0922222222222224,20.891,393.2,9436.8,604800.0,0.0156031746031746,0.9843968253968254,0.9843968253968254,0.975824636882561,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BF,2,3;5;6;7,B,70.0,1000,9592487.085903978,329579471.8353426,0.9708947677096336,0.0,1043.41,1043.41,1.0,1.4229055555555552,24.248,512.246,12293.904,604800.0,0.0203272222222222,0.9796727777777776,0.9796727777777776,0.9708947677096336,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BF,2,3;5;6;7,F,50.0,1000,5638546.692163001,236262174.8479518,0.9761343655801368,160683.53119879976,741.91,741.91,1.0,0.7488555555555553,15.397,269.588,6470.112,432000.0,0.0149771111111111,0.9850228888888888,0.9850228888888888,0.9761343655801368,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BG,2,3;5;6;7,B,70.0,1000,9366305.88465934,329579471.8353426,0.9715810398247778,0.0,1043.41,1043.41,1.0,1.4019083333101328,23.855,504.6869999916478,12112.487999799549,604800.0,0.0200272619044304,0.9799727380955696,0.9799727380955696,0.9715810398247778,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BG,2,3;5;6;7,G,60.0,1000,3905145.170030151,286727718.3380234,0.9863803011698145,235164.2733509632,894.73,894.73,1.0,0.5067861111230408,12.404,182.4430000042947,4378.632000103074,518400.0,0.008446435185384,0.991553564814616,0.991553564814616,0.9863803011698145,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,CD,2,3;5;6;7,C,80.0,1000,9382733.993420372,374136351.0733999,0.974921618905778,164741.13673094346,1191.344,1191.344,1.0,1.390355555554554,24.838,500.5279999996395,12012.671999991348,691200.0,0.0173794444444319,0.982620555555568,0.982620555555568,0.974921618905778,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,CD,2,3;5;6;7,D,100.0,1000,10788360.183301289,467670438.8417495,0.9769317038510704,98153.21736830407,1489.019,1489.019,1.0,1.560363888888887,29.272,561.731,13481.544,864000.0,0.0156036388888888,0.9843963611111112,0.9843963611111112,0.9769317038510704,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,CE,2,3;5;6;7,C,80.0,1000,8679404.383792033,374136351.0733999,0.9768014940037482,241409.07595896305,1191.344,1191.344,1.0,1.260877777777777,24.877,453.916,10893.984,691200.0,0.0157609722222222,0.9842390277777778,0.9842390277777778,0.9768014940037482,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,CE,2,3;5;6;7,E,70.0,1000,7936364.667996424,330767044.78713214,0.9760061808058782,206004.3889175036,1045.03,1045.03,1.0,1.0611500000000005,21.115,382.014,9168.336,604800.0,0.0151592857142857,0.9848407142857144,0.9848407142857144,0.9760061808058782,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,CF,2,3;5;6;7,C,80.0,1000,9282724.765806817,374136351.0733999,0.9751889258042566,0.0,1191.344,1191.344,1.0,1.3943916666643468,25.108,501.98099999916496,12047.543999979958,691200.0,0.0174298958333043,0.9825701041666955,0.9825701041666955,0.9751889258042566,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,CF,2,3;5;6;7,F,50.0,1000,5807023.040546008,236262174.8479518,0.9754212749278078,163423.11622151444,741.91,741.91,1.0,0.7677527777777767,15.604,276.391,6633.384,432000.0,0.0153550555555555,0.9846449444444444,0.9846449444444444,0.9754212749278078,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,CG,2,3;5;6;7,C,80.0,1000,8995209.999338165,374136351.0733999,0.9759574016971864,0.0,1191.344,1191.3439999999987,0.9999999999999988,1.363299999999025,24.615,490.7879999996489,11778.911999991573,691200.0,0.0170412499999878,0.9829587500000122,0.9829587500000122,0.9759574016971864,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,CG,2,3;5;6;7,G,60.0,1000,4131357.605467667,286727718.3380234,0.9855913560453292,237065.56777107145,894.73,894.7300000000027,1.000000000000003,0.5330416666548597,12.57,191.8949999957493,4605.479999897983,518400.0,0.0088840277775809,0.991115972222419,0.991115972222419,0.9855913560453292,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,DE,2,3;5;6;7,D,100.0,1000,10404396.953646423,467670438.8417495,0.97775271625161,121242.858870147,1489.019,1489.019,1.0,1.4786805555555569,29.956,532.325,12775.8,864000.0,0.0147868055555555,0.9852131944444444,0.9852131944444444,0.97775271625161,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,DE,2,3;5;6;7,E,70.0,1000,7980694.176537856,330767044.78713214,0.9758721604757392,136517.5151758788,1045.03,1045.03,1.0,1.0576499999789697,21.258,380.7539999924293,9138.095999818304,604800.0,0.0151092857139852,0.9848907142860148,0.9848907142860148,0.9758721604757392,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,DF,2,3;5;6;7,D,100.0,1000,11212631.646258024,467670438.8417495,0.9760245020531388,45231.19158020039,1489.019,1489.019,1.0,1.6507805555417223,30.099,594.28099999502,14262.743999880482,864000.0,0.0165078055554172,0.9834921944445828,0.9834921944445828,0.9760245020531388,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,DF,2,3;5;6;7,F,50.0,1000,5957995.756072138,236262174.8479518,0.9747822699088144,160610.70583632143,741.91,741.91,1.0,0.8047250000000002,15.867,289.701,6952.824,432000.0,0.0160945,0.9839055,0.9839055,0.9747822699088144,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,DG,2,3;5;6;7,D,100.0,1000,10313797.856084185,467670438.8417495,0.977946440485681,131810.07585514776,1489.019,1489.0189999999982,0.9999999999999988,1.4913888888699178,28.955,536.8999999931702,12885.599999836086,864000.0,0.0149138888886991,0.9850861111113008,0.9850861111113008,0.977946440485681,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,DG,2,3;5;6;7,G,60.0,1000,5078664.88518379,286727718.3380234,0.9822874993927284,0.0,894.73,894.7299999999966,0.9999999999999962,0.7810388888790892,14.276,281.1739999964723,6748.175999915336,518400.0,0.0130173148146514,0.9869826851853484,0.9869826851853484,0.9822874993927284,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,EF,2,3;5;6;7,E,70.0,1000,8185080.958454565,330767044.78713214,0.975254242865331,195963.5588324991,1045.03,1045.0299999999966,0.9999999999999968,1.1258083333455655,20.756,405.2910000044032,9726.984000105676,604800.0,0.0160829761906509,0.9839170238093492,0.9839170238093492,0.975254242865331,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,EF,2,3;5;6;7,F,50.0,1000,6194356.568324036,236262174.8479518,0.9737818524175084,134247.92466707175,741.91,741.91,1.0,0.8336888888698736,16.242,300.12799999315433,7203.071999835704,432000.0,0.0166737777773974,0.9833262222226026,0.9833262222226026,0.9737818524175084,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,EG,2,3;5;6;7,E,70.0,1000,7820272.93432499,330767044.78713214,0.9763571581341852,0.0,1045.03,1045.03,1.0,1.0902083333333334,20.498,392.475,9419.4,604800.0,0.0155744047619047,0.9844255952380953,0.9844255952380953,0.9763571581341852,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,EG,2,3;5;6;7,G,60.0,1000,3958382.032456541,286727718.3380234,0.986194630727016,236009.18431009213,894.73,894.73,1.0,0.5170222222222226,12.667,186.128,4467.072,518400.0,0.008617037037037,0.9913829629629628,0.9913829629629628,0.986194630727016,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,FG,2,3;5;6;7,F,50.0,1000,5163413.794045168,236262174.8479518,0.9781454064859594,84900.62705797119,741.91,741.91,1.0,0.7029527777777766,15.085,253.063,6073.512,432000.0,0.0140590555555555,0.9859409444444444,0.9859409444444444,0.9781454064859594,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,FG,2,3;5;6;7,G,60.0,1000,3502339.622129961,286727718.3380234,0.9877851376126774,209966.7375424773,894.73,894.73,1.0,0.4668611111111109,12.309,168.07,4033.68,518400.0,0.0077810185185185,0.9922189814814816,0.9922189814814816,0.9877851376126774,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCD,3,3;5;6;7,B,70.0,1000,9877929.596492248,329579471.8353426,0.9700286867337804,108489.022098775,1043.41,1043.41,1.0,1.4107805555528696,25.014999999032995,507.880999999033,12189.143999976792,604800.0,0.0201540079364695,0.9798459920635304,0.9798459920635304,0.9700286867337804,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCD,3,3;5;6;7,C,80.0,1000,9099551.857442334,374136351.0733999,0.975678514447111,194459.59292731303,1191.344,1191.344,1.0,1.318969444444446,24.792,474.829,11395.896,691200.0,0.0164871180555555,0.9835128819444444,0.9835128819444444,0.975678514447111,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCD,3,3;5;6;7,D,100.0,1000,10541348.611638086,467670438.8417495,0.9774598782900514,127736.7268304626,1489.019,1489.0190000000068,1.0000000000000049,1.4923111111090468,29.353,537.231999999257,12893.56799998217,864000.0,0.0149231111110904,0.9850768888889097,0.9850768888889097,0.9774598782900514,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCE,3,3;5;6;7,B,70.0,1000,9188049.220880335,329579471.8353426,0.9721219007673187,215459.01098617003,1043.41,1043.41,1.0,1.3430694444444449,23.863,483.505,11604.12,604800.0,0.0191867063492063,0.9808132936507936,0.9808132936507936,0.9721219007673187,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCE,3,3;5;6;7,C,80.0,1000,8336970.668104385,374136351.0733999,0.977716758491428,266853.44164341985,1191.344,1191.344,1.0,1.228161111111112,23.996,442.138,10611.312,691200.0,0.0153520138888888,0.9846479861111112,0.9846479861111112,0.977716758491428,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCE,3,3;5;6;7,E,70.0,1000,7398294.917697678,330767044.78713214,0.9776329140575086,290963.6732122628,1045.03,1045.03,1.0,1.022505555555554,20.308,368.102,8834.448,604800.0,0.0146072222222222,0.9853927777777778,0.9853927777777778,0.9776329140575086,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCF,3,3;5;6;7,B,70.0,1000,9100420.954562098,329579471.8353426,0.9723877797852996,162187.3102629641,1043.41,1043.4099999999933,0.9999999999999934,1.3117472222230109,23.555,472.2290000002835,11333.496000006804,604800.0,0.0187392460317572,0.9812607539682427,0.9812607539682427,0.9723877797852996,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCF,3,3;5;6;7,C,80.0,1000,8609529.624347799,374136351.0733999,0.9769882568222868,230006.4476679452,1191.344,1191.344,1.0,1.2764749999967764,24.189,459.5309999988396,11028.743999972152,691200.0,0.0159559374999597,0.9840440625000404,0.9840440625000404,0.9769882568222868,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCF,3,3;5;6;7,F,50.0,1000,6385208.565412389,236262174.8479518,0.972974054905227,0.0,741.91,741.91,1.0,0.9999472222198192,16.394,359.98099999913467,8639.54399997923,432000.0,0.0199989444443963,0.9800010555556036,0.9800010555556036,0.972974054905227,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCG,3,3;5;6;7,B,70.0,1000,8851108.062179213,329579471.8353426,0.973144237373494,161224.21179735905,1043.41,1043.4099999999953,0.9999999999999954,1.2787444444427327,23.151,460.3479999993837,11048.35199998521,604800.0,0.0182677777777533,0.9817322222222468,0.9817322222222468,0.973144237373494,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCG,3,3;5;6;7,C,80.0,1000,8359977.436905376,374136351.0733999,0.9776552654856432,222389.2534132289,1191.344,1191.344,1.0,1.2435611111148115,23.844,447.6820000013322,10744.368000031973,691200.0,0.0155445138889351,0.9844554861110648,0.9844554861110648,0.9776552654856432,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BCG,3,3;5;6;7,G,60.0,1000,4738004.066572891,286727718.3380234,0.9834755980550606,0.0,894.73,894.7299999999842,0.9999999999999823,0.8056861110993364,14.302,290.04699999576115,6961.127999898267,518400.0,0.0134281018516556,0.9865718981483445,0.9865718981483445,0.9834755980550606,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
base_oos_501_1500,BDE,3,3;5;6;7,B,70.0,1000,9163372.286121003,329579471.8353426,0.9721967747715216,206429.10065628184,1043.41,1043.41,1.0,1.3356222222222225,23.946,480.824,11539.776,604800.0,0.0190803174603174,0.9809196825396824,0.9809196825396824,0.9721967747715216,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
