case_id,case_name,coalition,n_scenarios,instance,objective,mip_gap,runtime,n_variables,n_constraints,base_decision,gamma_LT_decision,gamma_ST_decision,wind_farms,bases,scenario_seeds,n_periods,days_per_period,one_base,n_vessels_ub_ST_multi,n_vessels_ub_ST_single,n_vessels_ub_LT_multi,n_vessels_ub_LT_single
W1_B3_V3_S1_T12,1W3B,A,1,1,19499356.134215932,0.001985205929653912,1.01,26218,15459,1,SOV@1:1,Dec|SOV@1:1,A,"3,2,1",771,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,2,19623780.648400072,0.0014333808969928734,1.35,26231,15459,1,SOV@1:1,none,A,"3,2,1",366,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,3,22263691.785341747,0.0014191720584944823,0.98,26188,15459,1,SOV@1:1,"Jan|SOV@1:1, Feb|CTV@1:1",A,"3,2,1",660,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,4,17611073.898871962,0.0014009293545233963,1.52,26242,15459,1,SOV@1:1,"Jan|CTV@1:1;SOV@1:1, Feb|SOV@1:1",A,"3,2,1",200,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,5,16782531.108960003,5.2477411586474916e-05,1.08,26256,15459,1,SOV@1:1,Feb|CTV@1:1,A,"3,2,1",944,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,6,18133550.834720746,0.00022624622757806275,0.91,26234,15459,1,SOV@1:1,none,A,"3,2,1",89,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,7,21328047.446215298,0.0018235184185813743,2.63,26227,15459,1,SOV@1:1,"Sep|CTV@1:1, Oct|CTV@1:1;SOV@1:1",A,"3,2,1",265,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,8,11712856.465619678,0.001991206206889977,0.95,26603,15459,1,SOV@1:1,none,A,"3,2,1",653,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,9,11213775.634826964,0.0012531795350535018,0.98,26687,15459,1,SOV@1:1,none,A,"3,2,1",17,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,10,24702425.235625714,0.001526003908944599,1.39,26477,15459,1,SOV@1:1,none,A,"3,2,1",459,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,11,18082094.051272653,0.00018833349739648235,0.88,26272,15459,1,SOV@1:1,Nov|SOV@1:1,A,"3,2,1",147,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,12,20838980.912770968,0.0002760068772060998,1.78,26124,15459,1,SOV@1:1,Feb|CTV@1:2,A,"3,2,1",987,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,13,18960571.549878582,0.0012861203392082647,0.74,26030,15459,1,SOV@1:1,none,A,"3,2,1",329,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,14,14473027.420970183,0.0012391880743099508,1.88,26552,15459,1,SOV@1:1,Nov|CTV@1:1,A,"3,2,1",851,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,15,17886989.630975027,0.0014061238289960881,0.83,26028,15459,1,SOV@1:1,Dec|CTV@1:1;SOV@1:1,A,"3,2,1",320,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,16,15473439.534069631,0.0011643200686044955,1.39,26553,15459,1,SOV@1:1,"Feb|CTV@1:1, Sep|CTV@1:1",A,"3,2,1",837,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,17,20267388.540002577,0.001878988359525828,1.49,26245,15459,1,SOV@1:1,Sep|CTV@1:1,A,"3,2,1",53,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,18,15150190.057654079,0.0018006322169565648,1.53,26280,15459,1,SOV@1:1,none,A,"3,2,1",52,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,19,23043851.99085708,0.0004553460781277879,1.57,26240,15459,1,SOV@1:1,"Feb|CTV@1:1, Nov|CTV@1:1",A,"3,2,1",270,12,30,True,1,4,2,8
W1_B3_V3_S1_T12,1W3B,A,1,20,15739816.79793357,0.00018225427478270497,1.03,26389,15459,1,SOV@1:1,Oct|SOV@1:1,A,"3,2,1",555,12,30,True,1,4,2,8
