case,coalition,selected bases,savings [MEUR],synergy [%],SOV share,allocated savings [MEUR],time availability [%],value availability [%]
ABC,A,1,0.0,0.0,0.304,A: 0.000,A: 97.929,A: 96.970
ABC,B,2,0.0,0.0,0.36,B: 0.000,B: 98.482,B: 97.738
ABC,C,2,0.0,0.0,0.292,C: 0.000,C: 98.509,C: 97.753
ABC,AB,1,3.468,9.546,0.366,A: 1.834; B: 1.633,A: 98.190; B: 98.469,A: 97.256; B: 97.683
ABC,AC,2,2.311,6.421,0.4,A: 1.270; C: 1.041,A: 98.187; C: 98.551,A: 97.274; C: 97.839
ABC,BC,2,1.069,3.062,0.357,B: 0.557; C: 0.512,B: 98.388; C: 98.509,B: 97.651; C: 97.796
ABC,ABC,2,4.953,9.508,0.321,A: 2.830; B: 1.644; C: 0.478,A: 98.056; B: 98.372; C: 98.442,A: 97.080; B: 97.577; C: 97.647
ABF,A,1,0.0,0.0,0.304,A: 0.000,A: 97.929,A: 96.970
ABF,B,2,0.0,0.0,0.36,B: 0.000,B: 98.482,B: 97.738
ABF,F,4,0.0,0.0,0.25,F: 0.000,F: 99.261,F: 98.733
ABF,AB,1,3.468,9.546,0.366,A: 1.834; B: 1.633,A: 98.190; B: 98.469,A: 97.256; B: 97.683
ABF,AF,4,1.282,3.993,0.552,A: 0.808; F: 0.473,A: 98.054; F: 99.229,A: 97.233; F: 98.796
ABF,BF,4,1.101,3.675,0.452,B: 0.664; F: 0.437,B: 98.263; F: 99.172,B: 97.565; F: 98.700
ABF,ABF,1,4.003,8.319,0.365,A: 1.499; B: 2.368; F: 0.136,A: 98.229; B: 98.485; F: 98.837,A: 97.335; B: 97.755; F: 98.452
ADF,A,1,0.0,0.0,0.304,A: 0.000,A: 97.929,A: 96.970
ADF,D,3,0.0,0.0,0.32,D: 0.000,D: 98.639,D: 97.796
ADF,F,4,0.0,0.0,0.25,F: 0.000,F: 99.261,F: 98.733
ADF,AD,2,1.867,5.001,0.37,A: 1.003; D: 0.864,A: 98.211; D: 98.627,A: 97.384; D: 97.871
ADF,AF,4,1.282,3.993,0.552,A: 0.808; F: 0.473,A: 98.054; F: 99.229,A: 97.233; F: 98.796
ADF,DF,4,1.91,6.685,0.4,D: 1.137; F: 0.772,D: 98.368; F: 99.130,D: 97.519; F: 98.616
ADF,ADF,4,2.941,6.053,0.615,A: 0.791; D: 1.390; F: 0.760,A: 98.025; D: 98.458; F: 99.243,A: 97.187; D: 97.691; F: 98.784
