case,coalition,selected bases,savings [MEUR],synergy [%],SOV share,allocated savings [MEUR],time availability [%],value availability [%]
ABC high,A,1,0.0,0.0,0.429,A: 0.000,A: 98.284,A: 97.337
ABC high,B,1,0.0,0.0,0.4,B: 0.000,B: 98.594,B: 97.839
ABC high,C,2,0.0,0.0,0.31,C: 0.000,C: 98.516,C: 97.755
ABC high,AB,1,2.719,5.456,0.383,A: 1.446; B: 1.273,A: 98.217; B: 98.515,A: 97.293; B: 97.764
ABC high,AC,2,2.212,4.437,0.383,A: 1.188; C: 1.024,A: 98.160; C: 98.563,A: 97.224; C: 97.838
ABC high,BC,2,1.206,2.538,0.408,B: 0.609; C: 0.597,B: 98.519; C: 98.565,B: 97.753; C: 97.833
ABC high,ABC,2,3.538,4.837,0.316,A: 2.029; B: 1.008; C: 0.501,A: 98.137; B: 98.483; C: 98.531,A: 97.184; B: 97.724; C: 97.775
ABC low,A,1,0.0,0.0,0.333,A: 0.000,A: 98.005,A: 97.056
ABC low,B,1,0.0,0.0,0.333,B: 0.000,B: 98.162,B: 97.401
ABC low,C,2,0.0,0.0,0.222,C: 0.000,C: 98.197,C: 97.324
ABC low,AB,1,2.721,12.637,0.259,A: 1.404; B: 1.317,A: 97.803; B: 98.000,A: 96.791; B: 97.146
ABC low,AC,2,1.411,6.481,0.194,A: 0.762; C: 0.649,A: 97.702; C: 98.312,A: 96.715; C: 97.502
ABC low,BC,2,2.22,11.001,0.2,B: 1.163; C: 1.057,B: 97.939; C: 98.134,B: 97.040; C: 97.232
ABC low,ABC,2,3.141,9.885,0.286,A: 0.943; B: 1.754; C: 0.443,A: 97.704; B: 98.150; C: 98.313,A: 96.768; B: 97.377; C: 97.537
ABC mixed,A,1,0.0,0.0,0.333,A: 0.000,A: 98.005,A: 97.056
ABC mixed,B,1,0.0,0.0,0.25,B: 0.000,B: 98.202,B: 97.373
ABC mixed,C,2,0.0,0.0,0.31,C: 0.000,C: 98.516,C: 97.755
ABC mixed,AB,1,1.862,6.352,0.27,A: 0.748; B: 1.114,A: 97.770; B: 98.371,A: 96.703; B: 97.584
ABC mixed,AC,2,1.452,4.127,0.4,A: 0.496; C: 0.956,A: 97.980; C: 98.650,A: 97.019; C: 97.949
ABC mixed,BC,2,1.088,2.61,0.28,B: 0.475; C: 0.613,B: 98.291; C: 98.488,B: 97.476; C: 97.728
ABC mixed,ABC,2,4.147,8.11,0.339,A: 1.531; B: 1.405; C: 1.211,A: 97.735; B: 98.383; C: 98.564,A: 96.715; B: 97.591; C: 97.825
