instance,tree_size,iss_count,oss_count,iss_objective_meur,oss_objective_meur,iss_cv_percent,oss_cv_percent
1W1B,1,20,20,17.171,19.742,19.61,10.35
1W1B,3,20,20,16.201,18.0,11.25,5.01
1W1B,5,20,20,16.068,17.44,8.41,1.7
1W1B,7,20,20,17.462,17.411,9.08,0.86
1W1B,10,20,20,16.8,17.312,6.81,0.33
1W1B,15,20,20,17.298,17.355,6.33,0.83
1W1B,20,20,20,17.363,17.351,4.6,0.75
2W2B,1,20,20,28.761,29.999,18.03,2.89
2W2B,3,20,20,27.578,29.302,9.88,2.42
2W2B,5,20,20,26.708,29.149,7.43,1.76
2W2B,7,20,20,28.867,29.108,7.65,1.33
2W2B,10,20,20,28.183,29.166,5.23,1.28
2W2B,15,20,20,28.765,28.984,5.61,1.18
2W2B,20,20,20,28.734,29.035,4.96,1.35
3W2B,1,20,20,38.998,40.327,15.8,2.75
3W2B,3,20,20,37.784,39.18,8.55,0.96
3W2B,5,20,20,36.272,39.068,6.59,1.14
3W2B,7,20,20,38.662,39.056,6.27,0.88
3W2B,10,20,20,37.959,38.963,4.42,0.74
3W2B,15,20,20,38.57,38.954,5.39,0.46
3W2B,20,20,20,38.763,39.036,3.65,0.73
4W3B,1,20,20,48.922,49.53,12.52,1.64
4W3B,3,20,20,47.44,48.621,7.38,0.46
4W3B,5,20,20,45.89,48.575,5.73,0.37
4W3B,7,20,20,48.311,48.498,5.54,0.28
4W3B,10,20,20,47.708,48.587,3.37,0.52
4W3B,15,20,20,48.256,48.506,4.79,0.31
4W3B,20,19,19,48.347,48.515,3.09,0.28
