case_id,coalition,coalition_size,bases,count,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,iss_scenarios,oos_scenarios,seed,standalone_cost,synergy
base_oos_501_1500,B,1,3;5;6;7,1000,15626773.849463245,5842575.0,9784198.849463295,4485000.0,905625.0,451950.0,9610102.170674743,117215.96248646225,56880.71630206802,0.539924731016159,0.0077826914053415,3:1,CTV|3:1,CTV|3|Apr:1;CTV|3|Jun:1;CTV|3|Mar:1;CTV|3|May:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,15626773.849463245,0.0
base_oos_501_1500,C,1,3;5;6;7,1000,15913060.885095112,7222575.0,8690485.88509509,5865000.0,905625.0,451950.0,8441335.00466011,141652.5023546,107498.37808039492,0.5463580875396729,0.0088328775555285,3:1,CTV|3:1,CTV|3|Apr:1;CTV|3|Jul:1;CTV|3|Jun:1;CTV|3|May:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Mar:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Mar:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,15913060.885095112,0.0
base_oos_501_1500,D,1,3;5;6;7,1000,17255479.33779091,6618825.0,10636654.33779092,5261250.0,905625.0,451950.0,10518577.925253227,76193.11804997998,41883.29448767778,0.5400187048912048,0.0048816319889633,5:1,CTV|5:1,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,17255479.33779091,0.0
base_oos_501_1500,E,1,3;5;6;7,1000,14169605.857843105,6672875.0,7496730.857843066,6296250.0,0.0,376625.0,7205228.483214799,184666.45569172755,106835.9189365658,0.5021960761547088,0.011984261114036,6:1,,CTV|6|Apr:2;CTV|6|Aug:2;CTV|6|Dec:1;CTV|6|Feb:1;CTV|6|Jan:1;CTV|6|Jul:2;CTV|6|Jun:2;CTV|6|Mar:1;CTV|6|May:2;CTV|6|Nov:1;CTV|6|Oct:1;CTV|6|Sep:1;SOV|6|Dec:1;SOV|6|Feb:1;SOV|6|Jan:1;SOV|6|Mar:1;SOV|6|Nov:1;SOV|6|Oct:1;SOV|6|Sep:1,SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Mar:1;SOV1|6|Nov:1;SOV1|6|Oct:1;SOV1|6|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,14169605.857843105,0.0
base_oos_501_1500,F,1,3;5;6;7,1000,10759755.85614738,4732250.0,6027505.856147375,3450000.0,905625.0,376625.0,5863222.856844139,116199.99801055032,48083.00129269004,0.5063568387031555,0.0116168276451733,6:1,CTV|6:1,SOV|6|Dec:1;SOV|6|Feb:1;SOV|6|Jan:1;SOV|6|Nov:1;SOV|6|Oct:1,SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Nov:1;SOV1|6|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,10759755.85614738,0.0
base_oos_501_1500,G,1,3;5;6;7,1000,9297049.381300686,5422250.0,3874799.381300674,4140000.0,905625.0,376625.0,3655125.098134045,149496.37195658436,70177.9112100612,0.5970166156291962,0.0160372899471272,7:1,CTV|7:1,SOV|7|Dec:1;SOV|7|Feb:1;SOV|7|Jan:1;SOV|7|Mar:1;SOV|7|Nov:1;SOV|7|Oct:1,SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Mar:1;SOV1|7|Nov:1;SOV1|7|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,9297049.381300686,0.0
base_oos_501_1500,BC,2,3;5;6;7,1000,29693155.38038813,9281075.0,20412080.38038788,6641250.0,1811250.0,828575.0,19930439.920832563,335006.977588935,146633.4819666289,2.458553220748901,0.0073297640203916,3:1,CTV|3:2,CTV|3|Apr:1;CTV|3|Aug:1;CTV|3|Jul:1;CTV|3|Jun:1;CTV|3|May:1;SOV|3|Apr:1;SOV|3|Dec:1;SOV|3|Feb:2;SOV|3|Jan:1;SOV|3|Mar:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Apr:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Mar:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1;SOV2|3|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,31539834.73455836,0.06219208873267583
base_oos_501_1500,BD,2,3;5;6;7,1000,31746495.900009327,10833575.0,20912920.90000937,948750.0,9056250.0,828575.0,20411503.42019514,203401.9549208872,298015.5248933251,2.7904142949581145,0.0088011998446993,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Nov:1;SOV|5|Feb:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,32882253.187254153,0.035775831475135904
base_oos_501_1500,BE,2,3;5;6;7,1000,28311066.243132845,9669775.0,18641291.243132845,86250.0,9056250.0,527275.0,17472090.231202327,573316.2810098706,595884.7309206348,2.474746263742447,0.0131787241765855,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,29796379.707306348,0.05246405951007875
base_oos_501_1500,BF,2,3;5;6;7,1000,25064551.679282386,8775075.0,16289476.67928235,172500.0,8150625.0,451950.0,15231033.778066982,160683.53119879976,897759.3700166052,1.8239838020801544,0.009853276691552,6:1,CTV|6:1;SOV|6:1,CTV|6|Dec:1;CTV|6|Jan:1,SOV1|6|Apr:1;SOV1|6|Aug:1;SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Jul:1;SOV1|6|Jun:1;SOV1|6|Mar:1;SOV1|6|May:1;SOV1|6|Nov:1;SOV1|6|Oct:1;SOV1|6|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,26386529.705610625,0.05274293525149893
base_oos_501_1500,BG,2,3;5;6;7,1000,23466445.007787645,8527250.0,14939195.007787596,0.0,8150625.0,376625.0,13271451.0546895,235164.2733509632,1432579.6797471724,2.0891100816726684,0.0084836019812418,7:1,CTV|7:1;SOV|7:1,,SOV1|7|Apr:1;SOV1|7|Aug:1;SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Jul:1;SOV1|7|Jun:1;SOV1|7|Mar:1;SOV1|7|May:1;SOV1|7|Nov:1;SOV1|7|Oct:1;SOV1|7|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,24923823.23076393,0.06210477226067417
base_oos_501_1500,CD,2,3;5;6;7,1000,32086233.883140024,11512650.0,20573583.883140106,8797500.0,1811250.0,903900.0,20171094.17672168,262894.3540992473,139595.35231910413,2.3969559750556946,0.0076368199627956,5:1,CTV|5:2,CTV|5|Apr:2;CTV|5|Jun:2;CTV|5|May:2;SOV|5|Aug:1;SOV|5|Dec:2;SOV|5|Feb:2;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:2;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,33168540.222886022,0.03373117405077276
base_oos_501_1500,CE,2,3;5;6;7,1000,27079392.98569283,9508200.0,17571192.98569288,0.0,9056250.0,451950.0,16615769.051788451,447413.46487646713,508010.4690278739,2.5612221224308014,0.009365795452195,5:1,CTV|5:2;SOV|5:1,,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,30082666.742938217,0.11090624368249843
base_oos_501_1500,CF,2,3;5;6;7,1000,25003666.02621535,8947575.0,16056091.026215311,345000.0,8150625.0,451950.0,15089747.806352822,163423.11622151444,802920.1036410397,1.89278482747078,0.0097463662352605,6:1,CTV|6:1;SOV|6:1,CTV|6|Dec:1;CTV|6|Jan:1;CTV|6|Nov:1;CTV|6|Oct:1,SOV1|6|Apr:1;SOV1|6|Aug:1;SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Jul:1;SOV1|6|Jun:1;SOV1|6|Mar:1;SOV1|6|May:1;SOV1|6|Nov:1;SOV1|6|Oct:1;SOV1|6|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20,26672816.74124249,0.06675623939613912
