coalition,coalition_size,method,bases,objective,standalone_cost,synergy,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,Con_total_runtime,Con_eta_runtime,Con_gamma_LT_runtime,Con_gamma_ST_runtime,Con_Master_runtime,runtime,MIPGap,has_solution,status,eta,gamma_LT,gamma_ST,alpha,scenarios,seed,node_id,num_nodes
B,1,con_mp,3;5;6;7,14997917.97706948,14997917.97706948,0.0,5842575.0,9155342.97706862,4485000.0,905625.0,451950.0,8987666.336090704,115418.94304866872,52257.69793017785,140.66149617359042,23.205035664141175,6.781714608892798,0.0394122898578643,97.44302701950072,97.44302701950072,0.0144528870872051,True,2,3:1,CTV|3:1,CTV|3|Apr:1;CTV|3|Jun:1;CTV|3|Mar:1;CTV|3|May:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,4
C,1,con_mp,3;5;6;7,16059990.907401884,16059990.907401884,0.0,7222575.0,8837415.907402445,5865000.0,905625.0,451950.0,8595209.9341474,141832.6619656714,100373.31128874909,97.10754144378006,24.69489086791873,4.795995021238923,0.0394746977835893,54.4378399848938,54.4378399848938,0.0193126754868933,True,2,3:1,CTV|3:1,CTV|3|Apr:1;CTV|3|Jul:1;CTV|3|Jun:1;CTV|3|May:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Mar:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Aug:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Mar:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,1,4
D,1,con_mp,3;5;6;7,17319738.877077926,17319738.877077926,0.0,6618825.0,10700913.877079016,5261250.0,905625.0,451950.0,10587418.436648335,74803.01480820114,38692.425621489805,108.44202050380407,16.031322283670306,8.21207526512444,0.0404003523290157,69.59249877929688,69.59249877929688,0.0103596342386763,True,2,5:1,CTV|5:1,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,2,4
E,1,con_mp,3;5;6;7,14912170.937111389,14912170.937111389,0.0,6672875.0,8239295.937111099,6296250.0,0.0,376625.0,7956261.009804032,181998.9059378695,101036.02136944295,164.81374054402113,18.872616548091173,5.814217079430819,0.0152473356574773,127.3196029663086,127.3196029663086,0.010826793252852,True,2,6:1,,CTV|6|Apr:2;CTV|6|Aug:2;CTV|6|Dec:1;CTV|6|Feb:1;CTV|6|Jan:1;CTV|6|Jul:2;CTV|6|Jun:2;CTV|6|Mar:1;CTV|6|May:2;CTV|6|Nov:1;CTV|6|Oct:1;CTV|6|Sep:1;SOV|6|Dec:1;SOV|6|Feb:1;SOV|6|Jan:1;SOV|6|Mar:1;SOV|6|Nov:1;SOV|6|Oct:1;SOV|6|Sep:1,SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Mar:1;SOV1|6|Nov:1;SOV1|6|Oct:1;SOV1|6|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,3,4
F,1,con_mp,3;5;6;7,10967190.055141749,10967190.055141749,0.0,4732250.0,6234940.055141336,3450000.0,905625.0,376625.0,6078250.880422254,114418.40435222672,42270.77036719999,118.24126497097312,18.322343157604337,3.275120368227362,0.040245946496725,82.33314299583435,82.33314299583435,0.0026393746557999,True,2,6:1,CTV|6:1,SOV|6|Dec:1;SOV|6|Feb:1;SOV|6|Jan:1;SOV|6|Nov:1;SOV|6|Oct:1,SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Nov:1;SOV1|6|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,4
G,1,con_mp,3;5;6;7,9117496.66784912,9117496.66784912,0.0,5422250.0,3695246.667849486,4140000.0,905625.0,376625.0,3481336.27159421,148944.52010841444,64965.87614649029,129.2445050291717,13.881611878052354,3.022793792188168,0.0408102069050073,99.70273089408876,99.70273089408876,0.0186109722739854,True,2,7:1,CTV|7:1,SOV|7|Dec:1;SOV|7|Feb:1;SOV|7|Jan:1;SOV|7|Mar:1;SOV|7|Nov:1;SOV|7|Oct:1,SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Mar:1;SOV1|7|Nov:1;SOV1|7|Oct:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,1,4
BC,2,con_mp,3;5;6;7,28624726.73971686,31057908.884471364,0.08500280777802005,9281075.0,19343651.73971905,6641250.0,1811250.0,828575.0,18860936.70341055,333848.220857154,148866.81544914874,528.9595043547451,37.382484029978514,26.5763784814626,0.0382042434066534,447.1991159915924,447.1991159915924,0.0186186576383051,True,2,3:1,CTV|3:2,CTV|3|Apr:1;CTV|3|Aug:1;CTV|3|Jul:1;CTV|3|Jun:1;CTV|3|May:1;SOV|3|Apr:1;SOV|3|Dec:1;SOV|3|Feb:2;SOV|3|Jan:1;SOV|3|Mar:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,SOV1|3|Apr:1;SOV1|3|Dec:1;SOV1|3|Feb:1;SOV1|3|Jan:1;SOV1|3|Mar:1;SOV1|3|Nov:1;SOV1|3|Oct:1;SOV1|3|Sep:1;SOV2|3|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,2,4
BD,2,con_mp,3;5;6;7,30532747.32606209,32317656.854147404,0.05845885760046734,10833575.0,19699172.3260576,948750.0,9056250.0,828575.0,19199747.777802262,192979.59487588465,306444.9533837754,442.6988818906248,86.67282038554549,24.7336785774678,0.0386276226490736,311.89173102378845,311.89173102378845,0.006794996993494,True,2,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Nov:1;SOV|5|Feb:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Feb:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,3,4
BE,2,con_mp,3;5;6;7,28551916.837148093,29910088.914180867,0.04756850773905643,9669775.0,18882141.837147985,86250.0,9056250.0,527275.0,17666399.546081934,568552.9460089479,647189.3450572388,479.5435272101313,179.02832845970988,24.40026844292879,0.0197087991982698,257.84918999671936,257.84918999671936,0.0155969713962585,True,2,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,4
BF,2,con_mp,3;5;6;7,25000063.039556112,25965108.03221123,0.038601702368837386,8775075.0,16224988.039558288,172500.0,8150625.0,451950.0,15129486.359526856,158463.98433033327,937037.6956989572,386.1084403507412,236.379545558244,5.681230675429106,0.0415515527129173,126.53885579109192,126.53885579109192,0.0120025091562987,True,2,6:1,CTV|6:1;SOV|6:1,CTV|6|Dec:1;CTV|6|Jan:1,SOV1|6|Apr:1;SOV1|6|Aug:1;SOV1|6|Dec:1;SOV1|6|Feb:1;SOV1|6|Jan:1;SOV1|6|Jul:1;SOV1|6|Jun:1;SOV1|6|Mar:1;SOV1|6|May:1;SOV1|6|Nov:1;SOV1|6|Oct:1;SOV1|6|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,1,4
BG,2,con_mp,3;5;6;7,23407065.652343128,24115414.6449186,0.030262186772845753,8527250.0,14879815.65234168,0.0,8150625.0,376625.0,13144355.773309002,233468.25084478437,1501991.6281893973,604.4491373151541,280.2248028255999,19.339343275874853,0.0397732686251401,286.6996729373932,286.6996729373932,0.0185917147912061,True,2,7:1,CTV|7:1;SOV|7:1,,SOV1|7|Apr:1;SOV1|7|Aug:1;SOV1|7|Dec:1;SOV1|7|Feb:1;SOV1|7|Jan:1;SOV1|7|Jul:1;SOV1|7|Jun:1;SOV1|7|Mar:1;SOV1|7|May:1;SOV1|7|Nov:1;SOV1|7|Oct:1;SOV1|7|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,2,4
CD,2,con_mp,3;5;6;7,32063298.738696795,33379729.78447981,0.04105725541565169,11512650.0,20550648.73869264,8797500.0,1811250.0,903900.0,20146186.292311247,264611.30246245774,139851.14392323958,537.824185365811,31.3998876940459,26.68241269700229,0.0410835351794958,461.9996449947357,461.9996449947357,0.0120374542591292,True,2,5:1,CTV|5:2,CTV|5|Apr:2;CTV|5|Jun:2;CTV|5|May:2;SOV|5|Aug:1;SOV|5|Dec:2;SOV|5|Feb:2;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:2;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV2|5|Nov:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,3,4
CE,2,con_mp,3;5;6;7,27649684.223975044,30972161.844513275,0.12016331158159523,9508200.0,18141484.223971236,0.0,9056250.0,451950.0,17182785.055663846,434093.95041694544,524605.217894028,450.9291994199157,119.39934012852608,26.93691652454436,0.0401141606271266,286.1520450115204,286.1520450115204,0.009049966872992,True,2,5:1,CTV|5:2;SOV|5:1,,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,20,0,4
