case_id,coalition,coalition_size,bases,wind_farm,n_turbines,count,downtime_cost,potential_revenue,value_based_availability,travel_cost_S,failures,completed_tasks,completion_ratio,avg_total_backlog,max_total_backlog,backlog_task_days,downtime_turbine_hours,potential_turbine_hours,backlog_task_days_per_turbine_day,time_based_availability,time_availability_proxy,value_availability_proxy,iss_scenarios,oos_scenarios,seed
BCD_high,B,1,3;5;6;7,B,150.0,1000,18810147.38055023,706241725.3614496,0.9733658509472471,18324.094845732696,2237.297,2237.297,1.0,2.5738666666666634,47.864,926.592,22238.208,1296000.0,0.01715911111111111,0.9828408888888889,0.9828408888888889,0.9733658509472471,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,C,1,3;5;6;7,C,150.0,1000,15157688.564194564,701505658.2626249,0.978392635347041,27947.689985226265,2236.11,2236.11,1.0,2.1088638888888904,42.942,759.191,18220.584,1296000.0,0.014059092592592594,0.9859409074074074,0.9859409074074074,0.978392635347041,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,D,1,3;5;6;7,D,150.0,1000,15748678.691205675,701505658.2626249,0.9775501758172422,57232.30308709246,2233.839,2233.839,1.0,2.225741666666668,42.62,801.267,19230.408,1296000.0,0.014838277777777778,0.9851617222222222,0.9851617222222222,0.9775501758172422,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,BC,2,3;5;6;7,B,150.0,1000,19115307.09751763,706241725.3614496,0.9729337613297564,118772.20730796621,2237.297,2237.297,1.0,2.6751027777895207,48.629,963.0370000042267,23112.88800010144,1296000.0,0.01783401851859679,0.9821659814814032,0.9821659814814032,0.9729337613297564,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,BC,2,3;5;6;7,C,150.0,1000,15683903.66183101,701505658.2626249,0.9776425129617994,75366.38812742635,2236.11,2236.10999999985,0.9999999999999329,2.227088888881552,43.309,801.7519999973593,19242.047999936625,1296000.0,0.014847259259210358,0.9851527407407896,0.9851527407407896,0.9776425129617994,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,BD,2,3;5;6;7,B,150.0,1000,19607893.21580037,706241725.3614496,0.9722362860877907,58714.5731938856,2237.297,2237.297,1.0,2.7604027777806053,49.114,993.7450000010177,23849.880000024423,1296000.0,0.01840268518520403,0.981597314814796,0.981597314814796,0.9722362860877907,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,BD,2,3;5;6;7,D,150.0,1000,15164781.21895703,701505658.2626249,0.9783825247304281,92909.84256868399,2233.839,2233.8389999999945,0.9999999999999976,2.1549944444401694,42.396,775.7979999984623,18619.151999963095,1296000.0,0.014366629629601153,0.9856333703703989,0.9856333703703989,0.9783825247304281,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,CD,2,3;5;6;7,C,150.0,1000,15764797.67453116,701505658.2626249,0.9775271981218585,43904.3603564016,2236.11,2236.109999999996,0.9999999999999982,2.221319444444431,43.563,799.6749999999959,19192.1999999999,1296000.0,0.01480879629629622,0.9851912037037038,0.9851912037037038,0.9775271981218585,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,CD,2,3;5;6;7,D,150.0,1000,15203164.324748222,701505658.2626249,0.9783278094115435,77160.2260699388,2233.839,2233.839,1.0,2.153138888888892,42.381,775.13,18603.12,1296000.0,0.01435425925925926,0.9856457407407407,0.9856457407407407,0.9783278094115435,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,BCD,3,3;5;6;7,B,150.0,1000,19888422.851135664,706241725.3614496,0.9718390713307729,85120.83085745953,2237.297,2237.296999999967,0.9999999999999851,2.7951111110631817,49.95700000031866,1006.2399999827437,24149.75999958585,1296000.0,0.018634074073754513,0.9813659259262455,0.9813659259262455,0.9718390713307729,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,BCD,3,3;5;6;7,C,150.0,1000,15964018.208170816,701505658.2626249,0.9772432082048947,177610.72292165505,2236.11,2236.1099999999924,0.9999999999999966,2.2753972222487655,43.384,819.1430000095569,19659.43200022936,1296000.0,0.015169314814991794,0.9848306851850082,0.9848306851850082,0.9772432082048947,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
BCD_high,BCD,3,3;5;6;7,D,150.0,1000,15607712.871778201,701505658.2626249,0.9777511233331562,121063.93139089225,2233.839,2233.8389999999895,0.9999999999999953,2.203188888912868,42.714,793.1480000086331,19035.552000207197,1296000.0,0.014687925926085798,0.9853120740739142,0.9853120740739142,0.9777511233331562,18;36;50;60;120;123;128;137;171;203;226;258;332;434;439,501-1500,20
