instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,gamma_LT,gamma_ST,scenarios,param_signature,seed,iss_pool,oos_pool,nested_trees
1,1,20566313.116363306,6767754.5,13798558.616363313,573495.0,5506020.0,688239.5,13767522.61562648,862.1111315784681,30173.889605246393,0.7420001029968262,1.4490843457976676e-15,SOV|3:1,CTV|3|Jan:1;SOV|3|Feb:1,36,2ced5ae0f02a4ee8,1881,1-200,201-300,1
1,3,24118661.161132794,6194168.5,17924492.661133032,229320.0,5506020.0,458828.5,17893312.975207396,3161.0741491210492,28018.611776300164,3.736999988555908,0.0,SOV|3:1,CTV|3|Apr:1;CTV|3|Jan:1,36;138;195,2ced5ae0f02a4ee8,1881,1-200,201-300,1
1,5,23828978.64697018,6194168.5,17634810.146970205,229320.0,5506020.0,458828.5,17603515.51289387,3276.0222999981784,28018.611776300342,4.494000196456909,2.791288222153117e-05,SOV|3:1,CTV|3|Apr:1;CTV|3|Jan:1,36;64;138;179;195,2ced5ae0f02a4ee8,1881,1-200,201-300,1
1,10,24881202.960880518,6117696.0,18763506.96087961,5735340.0,0.0,382356.0,18732557.171256877,2931.1778473667905,28018.61177630008,52.95199990272522,7.391972403509419e-05,,CTV|3|Feb:1;CTV|3|Jan:1;SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,2;6;36;53;64;128;138;158;179;195,2ced5ae0f02a4ee8,1881,1-200,201-300,1
2,1,21480398.209262062,5811903.5,15668494.709262062,0.0,5506020.0,305883.5,15640476.097485755,0.0,28018.611776300222,0.8209998607635498,5.202822958173492e-16,SOV|3:1,,125,2ced5ae0f02a4ee8,1881,1-200,201-300,1
2,3,20853760.637813255,6003036.0,14850724.637813168,5620680.0,0.0,382356.0,14820694.433396611,2011.5926403497585,28018.611776300164,6.817000150680542,6.717192164889078e-05,,CTV|3|Dec:1;SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,38;81;125,2ced5ae0f02a4ee8,1881,1-200,201-300,1
2,5,24717769.25306701,6117696.0,18600073.25306706,229320.0,5506020.0,382356.0,18568778.618990727,3276.0222999981784,28018.611776300342,8.581000089645386,3.0291197120490858e-05,SOV|3:1,CTV|3|Feb:1;CTV|3|Jan:1,38;60;81;125;162,2ced5ae0f02a4ee8,1881,1-200,201-300,1
2,10,26524670.651284996,7341249.5,19183421.151283957,1146990.0,5506020.0,688239.5,19150747.139398146,2500.122281577557,30173.889605246208,76.1710000038147,8.453573183949008e-05,SOV|3:1,CTV|3|Feb:1;CTV|3|Jan:1;SOV|3|Feb:1;SOV|3|Jan:1,38;60;74;81;95;125;136;144;158;162,2ced5ae0f02a4ee8,1881,1-200,201-300,1
3,1,23014577.17297054,6117696.0,16896881.172970556,229320.0,5506020.0,382356.0,16864552.005536355,4310.555657892341,28018.611776300222,1.0130000114440918,1.618665539872303e-16,SOV|3:1,CTV|3|Dec:1;CTV|3|Nov:1,93,2ced5ae0f02a4ee8,1881,1-200,201-300,1
3,3,22430396.591465663,6385301.0,16045095.591465587,5850000.0,0.0,535301.0,16012191.683277108,4885.296412277986,28018.611776300164,3.2009999752044678,0.0,,CTV|3|Jan:1;CTV|3|Jul:1;CTV|3|Nov:1;SOV|3|Apr:1;SOV|3|Aug:1;SOV|3|Dec:1;SOV|3|Feb:1;SOV|3|Jan:1;SOV|3|Jul:1;SOV|3|Jun:1;SOV|3|Mar:1;SOV|3|May:1;SOV|3|Nov:1;SOV|3|Oct:1;SOV|3|Sep:1,93;139;162,2ced5ae0f02a4ee8,1881,1-200,201-300,1
