instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,gamma_LT,gamma_ST,scenarios,param_signature,seed,iss_pool,oos_pool,nested_trees
1,1,22048298.189645,6003036.0,16045262.18964499,191132.5,5811903.5,16007784.535041273,1118.7359583201987,36358.918645406455,2.7930002212524414,9.646454831061885e-05,SOV|1:1,CTV|1|Oct:1,197,4e3284ef116ff2c8,99,1-200,201-300,1
1,3,21262013.30691182,6003036.0,15258977.306911856,191132.5,5811903.5,15220008.00436371,2610.3839027471304,36358.91864540642,20.566999912261963,6.563857687871853e-05,SOV|1:1,CTV|1|Jan:1,100;114;197,4e3284ef116ff2c8,99,1-200,201-300,1
1,5,26458147.38285612,6767754.5,19690392.882855743,955851.0,5811903.5,19649894.64116497,2461.219108304437,38037.022582886915,52.579999923706055,9.447121519910228e-05,SOV|1:1,CTV|1|Jan:1;SOV|1|Dec:1,97;100;114;184;197,4e3284ef116ff2c8,99,1-200,201-300,1
1,7,26925036.305794515,6767754.5,20157281.805793997,955851.0,5811903.5,20117087.22100639,2237.4719166403975,37957.11287157805,199.69700002670288,8.490018775009476e-05,SOV|1:1,CTV|1|Jan:1;SOV|1|Dec:1,63;97;100;114;182;184;197,4e3284ef116ff2c8,99,1-200,201-300,1
1,9,26820545.56058199,6767754.5,20052791.060582604,955851.0,5811903.5,20012454.414084822,2113.1679212714866,38223.47857593985,610.6579999923706,9.86268917853314e-05,SOV|1:1,CTV|1|Jan:1;SOV|1|Dec:1,35;63;97;100;114;145;182;184;197,4e3284ef116ff2c8,99,1-200,201-300,1
1,12,25882578.655125152,6767754.5,19114824.155125678,955851.0,5811903.5,19074875.958613366,1957.7879270603478,37990.40858462297,483.297000169754,6.668759228484265e-05,SOV|1:1,CTV|1|Jan:1;SOV|1|Dec:1,35;63;97;100;109;114;122;145;182;184;191;197,4e3284ef116ff2c8,99,1-200,201-300,1
2,1,17301577.255916253,6003036.0,11298541.255916243,191132.5,5811903.5,11259944.865354205,2237.4719166403975,36358.918645406455,2.453000068664551,7.150800105798593e-05,SOV|1:1,CTV|1|Dec:1,139,4e3284ef116ff2c8,99,1-200,201-300,1
2,3,20075349.48269159,6003036.0,14072313.482691586,191132.5,5811903.5,14035208.740073975,745.8239722134658,36358.91864540642,6.700000047683716,5.12096177023327e-05,SOV|1:1,CTV|1|Oct:1,66;69;139,4e3284ef116ff2c8,99,1-200,201-300,1
2,5,20935915.273308776,5811903.5,15124011.773308832,0.0,5811903.5,15087652.854663339,0.0,36358.91864540661,34.86399984359741,4.128706978500581e-05,SOV|1:1,,60;66;69;134;139,4e3284ef116ff2c8,99,1-200,201-300,1
2,7,21700380.50112109,5811903.5,15888477.001121188,0.0,5811903.5,15852118.082475694,0.0,36358.918645406346,98.0860002040863,8.531506030763266e-05,SOV|1:1,,60;66;69;115;134;139;154,4e3284ef116ff2c8,99,1-200,201-300,1
2,9,23146342.228498917,5811903.5,17334438.728499465,0.0,5811903.5,17298079.809853487,0.0,36358.918645406215,113.95499992370605,9.618721035208317e-05,SOV|1:1,,47;53;60;66;69;115;134;139;154,4e3284ef116ff2c8,99,1-200,201-300,1
2,12,24514047.30488308,5811903.5,18702143.804883648,0.0,5811903.5,18665784.88623767,0.0,36358.91864540604,1076.8269999027252,9.8392251062298e-05,SOV|1:1,,47;53;60;66;69;76;115;134;139;154;178;187,4e3284ef116ff2c8,99,1-200,201-300,1
3,1,29357265.86333779,5811903.5,23545362.363337796,0.0,5811903.5,23509003.4446924,0.0,36358.918645406455,2.182000160217285,7.827651927240426e-05,SOV|1:1,,132,4e3284ef116ff2c8,99,1-200,201-300,1
3,3,24901307.9291976,5811903.5,19089404.429197613,0.0,5811903.5,19053045.510552216,0.0,36358.91864540642,16.587000131607056,9.727511143057892e-05,SOV|1:1,,59;84;132,4e3284ef116ff2c8,99,1-200,201-300,1
3,5,26733659.798087865,5811903.5,20921756.298087433,0.0,5811903.5,20885397.379442424,0.0,36358.91864540661,94.66499996185303,4.0098242791649776e-05,SOV|1:1,,58;59;84;116;132,4e3284ef116ff2c8,99,1-200,201-300,1
3,7,28197967.093685873,6576622.0,21621345.093685325,764718.5,5811903.5,21583387.980814364,0.0,37957.11287157805,183.35600018501282,8.310468557078365e-05,SOV|1:1,SOV|1|Feb:1,58;59;84;115;116;132;163,4e3284ef116ff2c8,99,1-200,201-300,1
3,9,27201581.768731102,6003036.0,21198545.768731758,191132.5,5811903.5,21160322.290155273,1864.5599305336648,36358.918645406215,306.4930000305176,5.7072048805718315e-05,SOV|1:1,CTV|1|Feb:1,58;59;84;115;116;132;151;163;170,4e3284ef116ff2c8,99,1-200,201-300,1
3,12,28280723.43455637,6003036.0,22277687.434556883,191132.5,5811903.5,22239184.271990757,2144.243920113714,36358.91864540604,400.1400001049042,9.25236374892407e-05,SOV|1:1,CTV|1|Feb:1,13;58;59;84;115;116;119;121;132;151;163;170,4e3284ef116ff2c8,99,1-200,201-300,1
