tree_size,count,instances,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,downtime_cost,travel_cost_S,travel_cost_M,gamma_LT,gamma_ST,param_signature,seed,iss_pool,oos_pool,nested_trees
1,1,1,26712029.108895257,6003036.0,20708993.108895272,191132.5,5811903.5,20671389.596496236,1286.5463520682295,36316.96604696949,SOV|1:1,CTV|1|Oct:1,4e3284ef116ff2c8,99,1-200,201-300,1
1,1,2,26722504.47707549,6003036.0,20719468.477075495,191132.5,5811903.5,20681495.78181021,1655.7292183138952,36316.96604696949,SOV|1:1,CTV|1|Dec:1,4e3284ef116ff2c8,99,1-200,201-300,1
3,1,1,26643803.918120023,6003036.0,20640767.91812001,191132.5,5811903.5,20602481.976786397,1968.975286643551,36316.96604696949,SOV|1:1,CTV|1|Jan:1,4e3284ef116ff2c8,99,1-200,201-300,1
3,1,2,26712029.108895257,6003036.0,20708993.108895272,191132.5,5811903.5,20671389.596496236,1286.5463520682295,36316.96604696949,SOV|1:1,CTV|1|Oct:1,4e3284ef116ff2c8,99,1-200,201-300,1
5,1,1,27105580.967515536,6767754.5,20337826.46751554,955851.0,5811903.5,20297428.912060596,1968.975286643551,38428.58016829875,SOV|1:1,CTV|1|Jan:1;SOV|1|Dec:1,4e3284ef116ff2c8,99,1-200,201-300,1
5,1,2,26600683.208713315,5811903.5,20788779.708713338,0.0,5811903.5,20752462.742666364,0.0,36316.96604696949,SOV|1:1,,4e3284ef116ff2c8,99,1-200,201-300,1
7,1,1,27105580.967515536,6767754.5,20337826.46751554,955851.0,5811903.5,20297428.912060596,1968.975286643551,38428.58016829875,SOV|1:1,CTV|1|Jan:1;SOV|1|Dec:1,4e3284ef116ff2c8,99,1-200,201-300,1
7,1,2,26600683.208713315,5811903.5,20788779.708713338,0.0,5811903.5,20752462.742666364,0.0,36316.96604696949,SOV|1:1,,4e3284ef116ff2c8,99,1-200,201-300,1
9,1,1,27105580.967515536,6767754.5,20337826.46751554,955851.0,5811903.5,20297428.912060596,1968.975286643551,38428.58016829875,SOV|1:1,CTV|1|Jan:1;SOV|1|Dec:1,4e3284ef116ff2c8,99,1-200,201-300,1
9,1,2,26600683.208713315,5811903.5,20788779.708713338,0.0,5811903.5,20752462.742666364,0.0,36316.96604696949,SOV|1:1,,4e3284ef116ff2c8,99,1-200,201-300,1
12,1,1,27105580.967515536,6767754.5,20337826.46751554,955851.0,5811903.5,20297428.912060596,1968.975286643551,38428.58016829875,SOV|1:1,CTV|1|Jan:1;SOV|1|Dec:1,4e3284ef116ff2c8,99,1-200,201-300,1
12,1,2,26600683.208713315,5811903.5,20788779.708713338,0.0,5811903.5,20752462.742666364,0.0,36316.96604696949,SOV|1:1,,4e3284ef116ff2c8,99,1-200,201-300,1
1,1,3,26600683.208713315,5811903.5,20788779.708713338,0.0,5811903.5,20752462.742666364,0.0,36316.96604696949,SOV|1:1,,4e3284ef116ff2c8,99,1-200,201-300,1
3,1,3,26600683.208713315,5811903.5,20788779.708713338,0.0,5811903.5,20752462.742666364,0.0,36316.96604696949,SOV|1:1,,4e3284ef116ff2c8,99,1-200,201-300,1
5,1,3,26600683.208713315,5811903.5,20788779.708713338,0.0,5811903.5,20752462.742666364,0.0,36316.96604696949,SOV|1:1,,4e3284ef116ff2c8,99,1-200,201-300,1
7,1,3,26959906.69051748,6576622.0,20383284.69051748,764718.5,5811903.5,20345051.889141876,0.0,38232.80137559273,SOV|1:1,SOV|1|Feb:1,4e3284ef116ff2c8,99,1-200,201-300,1
9,1,3,26704951.765885595,6003036.0,20701915.765885606,191132.5,5811903.5,20664077.318935324,1521.4809033154725,36316.96604696949,SOV|1:1,CTV|1|Feb:1,4e3284ef116ff2c8,99,1-200,201-300,1
12,1,3,26704951.765885595,6003036.0,20701915.765885606,191132.5,5811903.5,20664077.318935324,1521.4809033154725,36316.96604696949,SOV|1:1,CTV|1|Feb:1,4e3284ef116ff2c8,99,1-200,201-300,1
