tree_size,count,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,downtime_cost,travel_cost_S,travel_cost_M,gamma_LT,gamma_ST
1,1,18286394.23907594,4764745.0,13521649.239075942,294050.0,4470695.0,13482508.024102207,2787.890008133944,36353.324965614716,"('SOV', '1'):1","('CTV', '1', 'Sep'):2"
1,1,18600759.516716067,5205965.0,13394794.516716057,735270.0,4470695.0,13355130.852049772,2152.44798380807,37511.216682476224,"('SOV', '1'):1","('CTV', '1', 'Mar'):1;('SOV', '1', 'Jan'):1"
1,1,18147085.067497317,4470695.0,13676390.06749732,0.0,4470695.0,13640036.742531713,0.0,36353.324965614716,"('SOV', '1'):1",
3,1,18179939.79251954,4617720.0,13562219.792519527,147025.0,4470695.0,13523709.544626279,2156.9229276413507,36353.324965614716,"('SOV', '1'):1","('CTV', '1', 'Mar'):1"
3,1,18171873.519162152,4617720.0,13554153.519162152,147025.0,4470695.0,13515719.345314067,2080.8488824755764,36353.324965614716,"('SOV', '1'):1","('CTV', '1', 'Sep'):1"
3,1,18855571.39294804,5500015.0,13355556.392948026,1029320.0,4470695.0,13315006.68940276,2971.3627052984575,37578.34083997542,"('SOV', '1'):1","('CTV', '1', 'Sep'):3;('SOV', '1', 'Oct'):1"
5,1,18171873.519162152,4617720.0,13554153.519162152,147025.0,4470695.0,13515719.345314067,2080.8488824755764,36353.324965614716,('SOV'," '1'):1"
5,1,18179939.79251954,4617720.0,13562219.792519527,147025.0,4470695.0,13523709.544626279,2156.9229276413507,36353.324965614716,('SOV'," '1'):1"
5,1,18548049.16476695,5205965.0,13342084.16476694,735270.0,4470695.0,13302391.41296573,2080.8488824755764,37611.90291872503,('SOV'," '1'):1"
7,1,18147085.067497317,4470695.0,13676390.06749732,0.0,4470695.0,13640036.742531713,0.0,36353.324965614716,('SOV'," '1'):1"
7,1,18171873.519162152,4617720.0,13554153.519162152,147025.0,4470695.0,13515719.345314067,2080.8488824755764,36353.324965614716,('SOV'," '1'):1"
7,1,18319274.94622602,4911770.0,13407504.946226016,441075.0,4470695.0,13366215.7582123,4935.863048108725,36353.324965614716,('SOV'," '1'):1"
9,3,19488307.46248459,5811903.5,13676403.962484585,0.0,5811903.5,13640050.637518978,0.0,36353.324965614716,('SOV'," '1'):1"
12,3,19488307.46248459,5811903.5,13676403.962484585,0.0,5811903.5,13640050.637518978,0.0,36353.324965614716,('SOV'," '1'):1"
