tree_size,count,instances,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,param_signature,seed,iss_pool,oos_pool,iss_file
1,1,1,29488890.7786464,11437325.0,18051565.77864643,1552500.0,9056250.0,828575.0,17434952.294706605,236987.46575503855,379626.0181847408,1.5331098263263703,0.009751401181938886,5:1,CTV|5:2;SOV|5:1,CTV|5|Feb:1;CTV|5|Mar:1;SOV|5|Feb:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Feb:1;SOV2|5|Jan:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_random_ISS.csv
1,1,2,29188902.009461448,11307950.0,17880952.009461526,2328750.0,8150625.0,828575.0,17263177.604321305,222901.00955143335,394873.3955887086,1.799235787153244,0.008466192179704268,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:2;CTV|5|Jul:1;CTV|5|Mar:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_random_ISS.csv
1,1,3,31050279.57716235,8418575.0,22631704.577162445,5778750.0,1811250.0,828575.0,21858224.434146766,521995.8286418853,251484.31437370557,1.0118602023124694,0.008504413855209926,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Dec:4;CTV|5|Jan:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;CTV|5|Nov:1;CTV|5|Sep:1;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_random_ISS.csv
1,1,4,31155908.376865756,8709525.0,22446383.376865894,6900000.0,905625.0,903900.0,21680671.893559955,495960.28911555366,269751.1941902708,1.1408785426616668,0.009335792576862656,5:1,CTV|5:1,CTV|5|Apr:2;CTV|5|Aug:1;CTV|5|Feb:2;CTV|5|Jul:2;CTV|5|Jun:2;CTV|5|Mar:2;CTV|5|May:2;CTV|5|Oct:2;CTV|5|Sep:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:2;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_random_ISS.csv
1,1,5,30175103.930704486,8774500.0,21400603.930704623,6210000.0,1811250.0,753250.0,20687156.401384387,427142.3195307171,286305.20978940214,1.2612826788425446,0.00979653263044663,5:1,CTV|5:2,SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_random_ISS.csv
1,2,6;11,29697794.89648673,11835800.0,17861994.896486755,1725000.0,9056250.0,1054550.0,17244970.11403936,242005.02776178485,375019.75468550494,1.51976327586174,0.009799136158075207,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:2;CTV|5|Mar:1;CTV|5|Oct:1;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_random_ISS.csv
1,1,7,30822966.484683555,12482675.0,18340291.48468363,3277500.0,8150625.0,1054550.0,17747516.49223859,192599.64916702438,400175.34327792283,1.8776982822418213,0.008711658245946685,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;SOV|5|Dec:2;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1;SOV2|5|Oct:1;SOV3|5|Dec:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_random_ISS.csv
1,1,8,28891642.624627307,10111375.0,18780267.62462737,1207500.0,8150625.0,753250.0,18128314.204698287,216431.67309118612,435521.7468378221,2.028849504709244,0.008412454112067745,5:1,CTV|5:1;SOV|5:1,CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_random_ISS.csv
1,1,9,29416784.465546407,11512650.0,17904134.46554648,1552500.0,9056250.0,903900.0,17288608.131207384,240975.25730917655,374551.07702983107,1.5171520886421204,0.009687639031276335,5:1,CTV|5:2;SOV|5:1,CTV|5|Feb:1;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_random_ISS.csv
1,1,10,29421775.690968346,7922925.0,21498850.69096847,5433750.0,1811250.0,677925.0,20713096.87383097,521772.79425433726,263981.0228830373,1.022747022151947,0.008531757518519636,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;CTV|5|Nov:2;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_random_ISS.csv
