tree_size,count,objective
1,7,8600261.971445268
1,2,8665475.579578627
1,4,8645745.005140528
1,1,9143990.959090903
1,2,8737639.4507872
1,2,9022315.464076988
1,5,8636476.341819009
1,5,9158803.42343714
1,2,10873319.38498554
2,10,8600261.971445268
2,8,8645745.005140528
2,1,9068077.489056027
2,2,9022315.464076988
2,3,8665475.579578627
2,1,9219819.58968019
2,2,9158803.42343714
2,2,8636476.341819009
2,1,8609185.926901106
3,8,8645745.005140528
3,14,8600261.971445268
3,2,9158803.42343714
3,3,8636476.341819009
3,2,8665475.579578627
3,1,9022315.464076988
