tree_size,count,instances,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,param_signature,seed,iss_pool,oos_pool,iss_file
1,1,1,29368485.857285198,8893525.0,20474960.85728532,6555000.0,1811250.0,527275.0,19738935.162685614,418709.1753202306,317316.519279311,1.2758413033485412,0.009305066689601117,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|May:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_over_8_ISS.csv
1,2,2;10,31331662.060800448,8903300.0,22428362.060800564,6037500.0,1811250.0,1054550.0,21643317.654543534,566882.021399882,218162.38485698155,0.9433399841785431,0.00857064345484638,5:1,CTV|5:2,CTV|5|Apr:2;CTV|5|Aug:1;CTV|5|Feb:1;CTV|5|Jul:2;CTV|5|Jun:1;CTV|5|Mar:2;CTV|5|May:2;CTV|5|Oct:1;CTV|5|Sep:2;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV2|5|Jan:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_over_8_ISS.csv
1,1,3,30105814.471555732,8278850.0,21826964.471555807,5865000.0,1811250.0,602600.0,21044043.787144918,531681.0674027526,251239.61700806033,1.0037107927799225,0.008541585268815117,5:1,CTV|5:2,CTV|5|Apr:2;CTV|5|Dec:1;CTV|5|Feb:2;CTV|5|Jan:2;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:2;CTV|5|May:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_over_8_ISS.csv
1,2,4;17,29902312.783492245,11512075.0,18390237.78349226,2156250.0,8150625.0,1205200.0,17767224.878188234,208609.92273106074,414402.98257291026,1.9709671857357025,0.007869116096303422,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Dec:1;CTV|5|Feb:2;CTV|5|Jan:2;CTV|5|Mar:1;CTV|5|May:1;CTV|5|Sep:1;SOV|5|Jan:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1;SOV2|5|Oct:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_over_8_ISS.csv
1,1,5,29516892.466755856,9389175.0,20127717.46675595,6900000.0,1811250.0,677925.0,19390994.213946592,424066.66081507603,312656.5919941765,1.228695864200592,0.009502661538070781,5:1,CTV|5:2,CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;CTV|5|Nov:2;CTV|5|Oct:2;CTV|5|Sep:1;SOV|5|Apr:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_over_8_ISS.csv
1,1,6,29578033.2014888,10843925.0,18734108.20148889,1638750.0,8150625.0,1054550.0,18084078.56560708,230193.92148780753,419835.7143939536,1.965086947441101,0.008490571364196111,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:4;CTV|5|Feb:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_over_8_ISS.csv
1,1,7,33611972.806411356,7933850.0,25678122.806411415,5520000.0,1811250.0,602600.0,24923690.08988594,512703.48230753763,241729.2342178455,1.0479362206459046,0.008866184062526788,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|May:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_over_8_ISS.csv
1,1,8,29969966.063835252,9852050.0,20117916.063835345,6986250.0,1811250.0,1054550.0,19369882.168199368,467858.5115715768,280175.3840642817,1.0942499163150787,0.010089134967299171,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jul:2;CTV|5|Jun:2;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Dec:2;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_over_8_ISS.csv
1,1,9,30862208.769249752,9571450.0,21290758.76924988,6555000.0,1811250.0,1205200.0,20545274.34455887,461603.1353096115,283881.2893813594,1.1465067718029023,0.009198988179739855,5:1,CTV|5:2,CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Aug:1;SOV|5|Dec:2;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_over_8_ISS.csv
1,1,11,32665808.736798573,7879225.0,24786583.7367987,5088750.0,1811250.0,979225.0,23999118.184141055,558611.8379178793,228853.7147397189,0.9893499994277954,0.00871136162227324,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:6;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_over_8_ISS.csv
