tree_size,count,instances,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,param_signature,seed,iss_pool,oos_pool,iss_file
1,1,1,29368485.857285198,8893525.0,20474960.85728532,6555000.0,1811250.0,527275.0,19738935.162685614,418709.1753202306,317316.519279311,1.2808251144886016,0.009305066689601117,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|May:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
1,2,2;10,29096518.892270878,10489150.0,18607368.89227099,0.0,9961875.0,527275.0,17944584.433241956,285573.07065462286,377211.3883743254,1.432069980621338,0.009813844616132827,5:1,CTV|5:3;SOV|5:1,nan,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
1,1,3,28726186.483949088,9831350.0,18894836.48394917,172500.0,9056250.0,602600.0,18236434.15190737,262836.68302963575,395565.6490120311,1.5690555794239045,0.009379389134236575,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:2,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
1,2,4;17,29360884.87307197,11437325.0,17923559.873071983,1552500.0,9056250.0,828575.0,17307579.010607537,239850.40553901272,376130.456925358,1.5485797934532166,0.00935967945574342,5:1,CTV|5:2;SOV|5:1,CTV|5|Apr:1;CTV|5|Mar:1;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
1,1,5,28620378.66312208,9842275.0,18778103.66312215,258750.0,9056250.0,527275.0,18120278.845843885,267592.1960527349,390232.62122543855,1.5511858549118043,0.009724819746062225,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
1,1,6,29661751.50249662,11922050.0,17739701.502496712,1811250.0,9056250.0,1054550.0,17124003.428828485,244255.8721653294,371442.2015028111,1.5125180892944337,0.009604031218205272,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Jun:1;CTV|5|Oct:2;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
1,1,7,29665776.8712044,12008300.0,17657476.871204443,1897500.0,9056250.0,1054550.0,17041713.6116137,244832.78099957266,370930.47859109123,1.4892159245014192,0.009462652432100056,5:1,CTV|5:2;SOV|5:1,CTV|5|Feb:2;CTV|5|Jan:4;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
1,1,8,28629570.162142973,9701975.0,18927595.162143067,948750.0,8150625.0,602600.0,18265359.315072846,244449.4143290233,417786.43274109793,1.901603675365448,0.0076877636398208025,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:3;CTV|5|Mar:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
1,1,9,28742127.516062178,9831350.0,18910777.516062226,172500.0,9056250.0,602600.0,18253756.35008294,263177.91055739654,393843.2554218187,1.5760262949466706,0.009440889095089161,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
1,1,11,29177688.04422444,10348275.0,18829413.044224508,1293750.0,8150625.0,903900.0,18183463.95425749,221651.08820479224,424298.0017621436,1.9638185684680938,0.0083632421590322,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
1,2,12;14,31591594.841502853,12018650.0,19572944.841503,9832500.0,905625.0,1280525.0,18851459.2701304,460413.79240814503,261071.7789643356,1.0524276633262635,0.009824234582941002,5:1,CTV|5:1,CTV|5|Apr:3;CTV|5|Aug:2;CTV|5|Dec:3;CTV|5|Feb:3;CTV|5|Jan:1;CTV|5|Jul:2;CTV|5|Jun:2;CTV|5|Mar:3;CTV|5|May:2;CTV|5|Nov:2;CTV|5|Oct:1;CTV|5|Sep:2;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:3;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Feb:1;SOV2|5|Jan:1;SOV3|5|Feb:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_count_under_4_ISS.csv
