tree_size,count,instances,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,param_signature,seed,iss_pool,oos_pool,iss_file
1,1,1,28685002.402885452,9604800.0,19080202.40288556,776250.0,8150625.0,677925.0,18408665.68416835,232355.55432190458,439181.16439523257,2.0887791824340822,0.008231022312287976,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:3;CTV|5|Feb:1;CTV|5|Jan:2;CTV|5|May:1;CTV|5|Nov:1;CTV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,2,2;10,29463133.51365859,11372350.0,18090783.51365867,2242500.0,8150625.0,979225.0,17471047.344103724,216687.5277565381,403048.64179833146,1.9343644802570343,0.0078050707939200745,5:1,CTV|5:1;SOV|5:1,CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Jun:1;CTV|5|May:1;CTV|5|Oct:2;CTV|5|Sep:2;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,3,31084207.76129699,7987325.0,23096882.76129707,5347500.0,1811250.0,828575.0,22317717.04511653,520226.4255028329,258939.29067757897,1.0555530652999878,0.008667293604322142,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;CTV|5|Sep:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,2,4;17,29902312.783492245,11512075.0,18390237.78349226,2156250.0,8150625.0,1205200.0,17767224.878188234,208609.92273106074,414402.98257291026,2.016441959619522,0.007869116096303422,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Dec:1;CTV|5|Feb:2;CTV|5|Jan:2;CTV|5|Mar:1;CTV|5|May:1;CTV|5|Sep:1;SOV|5|Jan:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1;SOV2|5|Oct:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,5,28945695.224007644,9917600.0,19028095.224007756,258750.0,9056250.0,602600.0,18367502.514223613,265322.04641463433,395270.6633693885,1.6037121548652649,0.009564270388209537,5:1,CTV|5:2;SOV|5:1,CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,6,29665776.8712044,12008300.0,17657476.871204443,1897500.0,9056250.0,1054550.0,17041713.6116137,244832.78099957266,370930.47859109123,1.5214220712184905,0.009462652432100056,5:1,CTV|5:2;SOV|5:1,CTV|5|Feb:2;CTV|5|Jan:4;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,7,32161829.742048778,11834075.0,20327754.7420489,7158750.0,2716875.0,1958450.0,19551197.860898737,534847.0969522027,241709.78419784378,0.9338118398189544,0.009047455073816558,5:1,CTV|5:3,CTV|5|Apr:1;CTV|5|Dec:13;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;CTV|5|Oct:1;SOV|5|Dec:2;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,8,32482166.7864242,9398950.0,23083216.786424316,6382500.0,1811250.0,1205200.0,22367524.697448146,467915.47364174604,247776.6153342607,1.167000513792038,0.009481786872620955,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Jul:1;SOV|5|Apr:1;SOV|5|Dec:2;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:2;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,9,31830375.667137086,7998250.0,23832125.66713722,3622500.0,3622500.0,753250.0,23004982.807373896,645819.3679837742,181323.49177943487,0.755898805141449,0.00825960357252592,5:1,CTV|5:4,CTV|5|Feb:1;CTV|5|Jun:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Nov:1;SOV1|5|Oct:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,11,28869191.256636653,9615725.0,19253466.256636716,862500.0,8150625.0,602600.0,18578813.38125319,232401.46080437148,442251.41457908775,2.034548495054245,0.00883593014730749,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Dec:2;CTV|5|Feb:2;CTV|5|Jan:2;CTV|5|Mar:1;CTV|5|May:2,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,2,12;14,28446769.773250762,9120075.0,19326694.773250833,517500.0,8150625.0,451950.0,18656594.394783337,227792.18903177918,442308.18943561893,2.0930828835964204,0.008360110129712757,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,13,28918388.602964547,10499500.0,18418888.602964643,690000.0,9056250.0,753250.0,17778210.83981899,249505.70232772228,391172.06081782136,1.59337575340271,0.009763678844290956,5:1,CTV|5:2;SOV|5:1,SOV|5|Dec:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,15,28588874.93680822,9669775.0,18919099.93680826,86250.0,9056250.0,527275.0,18259344.542799473,262376.2274410248,397379.1665676933,1.5996274998188018,0.009511644810177767,5:1,CTV|5:2;SOV|5:1,CTV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,16,28561310.86464707,9508200.0,19053110.864647117,0.0,9056250.0,451950.0,18394972.645374056,259429.93973534217,398708.2795376363,1.6255329413414001,0.009280173717389257,5:1,CTV|5:2;SOV|5:1,nan,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,18,29665228.194998782,12288900.0,17376328.19499881,2328750.0,9056250.0,903900.0,16777418.447731994,232254.20731224038,366655.53995449236,1.5108154859542846,0.009669290378750308,5:1,CTV|5:2;SOV|5:1,CTV|5|May:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,19,29214162.605583802,8074150.0,21140012.60558393,4830000.0,2716875.0,527275.0,20353593.161288098,535095.5327417152,251323.91155399437,0.9638771905899047,0.008640282522363997,5:1,CTV|5:3,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
1,1,20,29175244.644421257,10984225.0,18191019.644421328,948750.0,9056250.0,979225.0,17550302.390403923,256506.51683387582,384210.7371834632,1.5418458409309388,0.009730012530225093,5:1,CTV|5:2;SOV|5:1,CTV|5|Jan:2;CTV|5|Oct:1;SOV|5|Dec:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,2,1;14,29110847.864337806,8203525.0,20907322.8643379,5865000.0,1811250.0,527275.0,20145227.85754601,469092.96004856506,293002.0467432609,1.1523775053024292,0.009345204382653554,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,2,28670895.11272461,9917600.0,18753295.112724666,258750.0,9056250.0,602600.0,18095044.80026926,266149.837468865,392100.47498648625,1.547565494298935,0.0097474429705409,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:2,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,3,28992473.270280316,11189500.0,17802973.270280387,1380000.0,9056250.0,753250.0,17181527.56551478,239975.15127482763,381470.5534907189,1.5634052608013154,0.009599937219445904,5:1,CTV|5:2;SOV|5:1,SOV|5|Dec:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Jan:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,4,29228296.969799645,7686025.0,21542271.969799742,5347500.0,1811250.0,527275.0,20755393.8741505,522441.68124274566,264436.4144063765,1.0302996542453766,0.008544248554633697,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,5,29467160.987713035,9194825.0,20272335.98771319,6555000.0,1811250.0,828575.0,19528795.827024568,459331.7460176006,284208.41467089433,1.1381616322994232,0.009743394906474129,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Dec:2;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,6,29149103.90908034,11189500.0,17959603.90908034,1380000.0,9056250.0,753250.0,17344611.766921196,236335.309920222,378656.8322388568,1.5635582265853882,0.00954974547145064,5:1,CTV|5:2;SOV|5:1,SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,7,29250423.48901879,8117275.0,21133148.489018917,5778750.0,1811250.0,527275.0,20377474.072052605,461772.14174782316,293902.275218322,1.2000874314308168,0.009337804373371422,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,8,28561310.86464707,9508200.0,19053110.864647117,0.0,9056250.0,451950.0,18394972.645374056,259429.93973534217,398708.2795376363,1.6255329413414001,0.009280173717389257,5:1,CTV|5:2;SOV|5:1,nan,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,9,29581035.29463854,8645125.0,20935910.29463867,6986250.0,905625.0,753250.0,20168880.516087357,509268.3522055399,257761.42634563032,1.01783633852005,0.009105845276009878,5:1,CTV|5:1,CTV|5|Apr:2;CTV|5|Aug:2;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Jul:2;CTV|5|Jun:2;CTV|5|Mar:1;CTV|5|May:2;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:2;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,10,28850887.115375876,10165425.0,18685462.115375962,431250.0,9056250.0,677925.0,18027120.034445774,269588.0755996998,388754.0053303995,1.5279979269504547,0.009485314082992451,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:2;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,11,28674002.073807463,9701975.0,18972027.07380755,948750.0,8150625.0,602600.0,18310338.786060877,243980.1488076671,417708.1389389255,1.91926114487648,0.007779182142894831,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:3;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Mar:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,12,29214601.48492242,10962950.0,18251651.48492245,1983750.0,8150625.0,828575.0,17612633.07984549,252788.84790382916,386229.5571730712,1.5606765794754027,0.009499080292871049,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:2;CTV|5|Feb:1;CTV|5|Jan:3;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,13,31063396.637169726,8838900.0,22224496.637169823,6123750.0,1811250.0,903900.0,21467823.660482977,508078.30906555057,248594.66762115725,1.0121972894668578,0.009217764864200536,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;CTV|5|Sep:1;SOV|5|Apr:1;SOV|5|Dec:2;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV2|5|Dec:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,15,28940794.132992905,10251675.0,18689119.132992964,517500.0,9056250.0,677925.0,18029782.034909707,271731.598338952,387605.49974422297,1.5042781801223755,0.00981945199219987,5:1,CTV|5:2;SOV|5:1,CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Jan:2;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,16,29386301.634499747,8526675.0,20859626.634499826,6037500.0,1811250.0,677925.0,20095905.339963682,470589.68368361006,293131.6108524459,1.132507395029068,0.009532970662129563,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:3;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,17,29214162.605583802,8074150.0,21140012.60558393,4830000.0,2716875.0,527275.0,20353593.161288098,535095.5327417152,251323.91155399437,0.9638771905899047,0.008640282522363997,5:1,CTV|5:3,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
3,1,18,28454854.760750856,9033825.0,19421029.760750946,431250.0,8150625.0,451950.0,18747695.07302849,222796.14022316807,450538.54749921395,2.1157613639831543,0.008735778631224315,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Nov:1;CTV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,8e1f6eec5f28b6aa,200,1-500,501-1500,con_total_ww_hours_ISS.csv
