instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,MIP_runtime,Con_total runtime,Con_eta runtime,Con_gamma_LT_runtime,Con_gamma_ST_runtime,Con_Master_runtime,Con_eta_n_iters,Con_eta_vars_fixed,Con_eta_judges_solved_min,Con_eta_gap_p90_max,Con_eta_unanimous_count,Con_gamma_LT_n_iters,Con_gamma_LT_vars_fixed,Con_gamma_LT_judges_solved_min,Con_gamma_LT_gap_p90_max,Con_gamma_LT_unanimous_count,Con_fix_history_json,MIPGap,has_solution,solve_status_code,solve_status,solve_outcome,gap_pruned,optimize_error,eta,gamma_LT,gamma_ST,alpha,scenarios,param_signature,seed,iss_pool,oos_pool
1,1,18590823.302235883,8203525.0,10387298.302235883,5865000.0,1811250.0,527275.0,9644357.899290001,473599.6345891989,269340.7683566807,20.938832998275757,,,,,,,,,,,,,,,,,0.017688208465294147,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,418,f625172cf7d9ff2c,200,1-500,501-1500
1,3,25789507.890495658,9508200.0,16281307.89049564,0.0,9056250.0,451950.0,15614352.230335683,235941.86188575422,431013.79827422556,89.5433509349823,,,,,,,,,,,,,,,,,0.01838267347490905,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,390;458;499,f625172cf7d9ff2c,200,1-500,501-1500
1,5,26219596.42017381,10090100.0,16129496.420173114,431250.0,9056250.0,602600.0,15428491.764188027,253906.25618827707,447098.3997974273,223.56438183784485,,,,,,,,,,,,,,,,,0.018408923693748688,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:2;CTV|5|Feb:1;CTV|5|Jan:2,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,86;110;231;305;440,f625172cf7d9ff2c,200,1-500,501-1500
1,7,28769547.684288274,11879500.0,16890047.684287593,2070000.0,9056250.0,753250.0,16296557.919632297,208671.45993515034,384818.3047209147,1615.332388162613,,,,,,,,,,,,,,,,,0.019005398840758317,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,SOV|5|Dec:1;SOV|5|Jan:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Jan:1;SOV2|5|Nov:1,28;131;176;181;264;290;295,f625172cf7d9ff2c,200,1-500,501-1500
1,10,30095629.018620305,11879500.0,18216129.018624377,2070000.0,9056250.0,753250.0,17629864.20824224,212773.64339459964,373491.1669836303,3772.666141986847,,,,,,,,,,,,,,,,,0.01939527183959852,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,SOV|5|Dec:1;SOV|5|Jan:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Jan:1;SOV2|5|Nov:1,14;22;29;58;85;93;135;187;301;480,f625172cf7d9ff2c,200,1-500,501-1500
1,15,28618146.474760666,10014775.0,18603371.47475474,431250.0,9056250.0,527275.0,17944234.313280728,250377.82646844987,408759.33501129464,1558.9120490550995,,,,,,,,,,,,,,,,,0.019882727975908805,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Nov:1;CTV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,6;25;71;78;93;144;156;171;173;197;320;345;351;388;433,f625172cf7d9ff2c,200,1-500,501-1500
1,20,28027706.00584287,9842275.0,18185431.005836416,258750.0,9056250.0,527275.0,17530117.197585132,247076.17571243263,408237.6325453175,12173.330955028534,,,,,,,,,,,,,,,,,0.01935622425297088,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Nov:1;CTV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,34;57;65;82;83;89;123;177;183;195;208;217;224;232;253;273;283;331;430;483,f625172cf7d9ff2c,200,1-500,501-1500
2,1,29999836.216173872,8569225.0,21430611.216174074,5778750.0,1811250.0,979225.0,20567985.164774217,620256.8732601957,242369.17813945742,20.787357091903687,,,,,,,,,,,,,,,,,0.018419084717337702,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2,CTV|5|Apr:2;CTV|5|Aug:1;CTV|5|Jul:2;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:2;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV2|5|Jan:1,139,f625172cf7d9ff2c,200,1-500,501-1500
2,3,31260010.022303864,11351075.0,19908935.022303864,1466250.0,9056250.0,828575.0,19274411.435264733,224486.30816520282,410037.2788739172,91.73469686508179,,,,,,,,,,,,,,,,,0.010916121919367212,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Jan:1;SOV|5|Dec:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Jan:1,31;236;316,f625172cf7d9ff2c,200,1-500,501-1500
2,5,30614303.51456963,10003850.0,20610453.514568154,345000.0,9056250.0,602600.0,19965379.624804534,240910.0032568461,404163.88650815847,525.7160539627075,,,,,,,,,,,,,,,,,0.01999895065077967,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:2;CTV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,85;127;134;171;180,f625172cf7d9ff2c,200,1-500,501-1500
