tree_size,count,instances,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,param_signature,seed,iss_pool,oos_pool,iss_file
1,1,1,29110847.864337806,8203525.0,20907322.8643379,5865000.0,1811250.0,527275.0,20145227.85754601,469092.96004856506,293002.0467432609,1.169371381521225,0.009345204382653554,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_count_over_8_ISS.csv
1,2,2;10,31406504.49292739,8569225.0,22837279.492927507,5778750.0,1811250.0,979225.0,22054698.498998184,561929.79784356,220651.19608565592,0.9057157278060913,0.008711605572692634,5:1,CTV|5:2,CTV|5|Apr:2;CTV|5|Aug:1;CTV|5|Jul:2;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:2;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV2|5|Jan:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_count_over_8_ISS.csv
1,1,3,29457254.044543184,8947000.0,20510254.044543333,6382500.0,1811250.0,753250.0,19749907.20260571,476858.09893886856,283488.742998614,1.0889902606010438,0.008985613212415505,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Dec:3;CTV|5|Jan:3;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_count_over_8_ISS.csv
1,2,4;17,30179107.674642883,10789875.0,19389232.674642965,7848750.0,1811250.0,1129875.0,18694267.39177477,389709.9944143327,305255.28845377907,1.217063249349594,0.009236399981591516,5:1,CTV|5:2,CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:2;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1;SOV2|5|Oct:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_count_over_8_ISS.csv
1,1,5,34805169.12785931,7577925.0,27227244.127859365,5088750.0,1811250.0,677925.0,26439357.408377223,570174.9074646346,217711.81201742034,0.9384265763759613,0.008317416160749042,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Feb:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;CTV|5|Nov:2;CTV|5|Oct:2;CTV|5|Sep:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Jan:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_count_over_8_ISS.csv
1,1,6,29974044.963569142,9237375.0,20736669.963569254,6296250.0,1811250.0,1129875.0,19971239.536353365,513920.892208513,251509.5350072616,0.9899731669425964,0.008883993008376662,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:3;CTV|5|Feb:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_count_over_8_ISS.csv
1,1,7,33777824.6202758,7718225.0,26059599.620275937,6210000.0,905625.0,602600.0,25309491.13455287,486907.18551635876,263201.3002065735,1.2388544940948487,0.007990511879211033,5:1,CTV|5:1,CTV|5|Aug:2;CTV|5|Dec:2;CTV|5|Feb:2;CTV|5|Jan:2;CTV|5|Jul:2;CTV|5|Jun:1;CTV|5|Nov:1;CTV|5|Oct:2;CTV|5|Sep:2;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|May:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_count_over_8_ISS.csv
1,1,8,29467160.987713035,9194825.0,20272335.98771319,6555000.0,1811250.0,828575.0,19528795.827024568,459331.7460176006,284208.41467089433,1.128092315196991,0.009743394906474129,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Dec:2;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_count_over_8_ISS.csv
1,1,9,29200691.62275928,9680125.0,19520566.6227593,776250.0,8150625.0,753250.0,18854042.82820427,194946.98807405148,471576.80648091884,2.251440533876419,0.01041487586170498,5:1,CTV|5:1;SOV|5:1,CTV|5|Nov:1;SOV|5|Dec:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_count_over_8_ISS.csv
1,1,11,29927444.663118154,8569225.0,21358219.663118236,5778750.0,1811250.0,979225.0,20572092.687109724,523534.0224836145,262592.95352479926,1.0060341989994048,0.008780062621107648,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:6;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_count_over_8_ISS.csv
