instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,MIP_runtime,Con_total runtime,Con_eta runtime,Con_gamma_LT_runtime,Con_gamma_ST_runtime,Con_Master_runtime,Con_eta_n_iters,Con_eta_vars_fixed,Con_eta_judges_solved_min,Con_eta_gap_p90_max,Con_eta_unanimous_count,Con_gamma_LT_n_iters,Con_gamma_LT_vars_fixed,Con_gamma_LT_judges_solved_min,Con_gamma_LT_gap_p90_max,Con_gamma_LT_unanimous_count,Con_fix_history_json,MIPGap,has_solution,solve_status_code,solve_status,solve_outcome,gap_pruned,optimize_error,eta,gamma_LT,gamma_ST,alpha,scenarios,param_signature,seed,iss_pool,oos_pool
1,1,22578373.12899489,9454150.0,13124223.128994914,776250.0,8150625.0,527275.0,12416799.14187194,275366.2521545554,432057.734968385,16.754364013671875,,,,,,,,,,,,,,,,,0.0064384599895381265,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:1;SOV|5:1,CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Jan:2;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,178,f625172cf7d9ff2c,200,1-500,501-1500
1,3,31129124.182196233,11879500.0,19249624.18219621,2070000.0,9056250.0,753250.0,18639676.265751217,208246.61721003396,401701.29923497565,67.51629495620728,,,,,,,,,,,,,,,,,0.019994881790538883,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1,271;306;409,f625172cf7d9ff2c,200,1-500,501-1500
1,5,28308219.032487564,12213575.0,16094644.032487106,2328750.0,9056250.0,828575.0,15524553.663198495,199417.83137962475,370672.53790940146,191.9054400920868,,,,,,,,,,,,,,,,,0.019983505790542495,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Mar:1;SOV|5|Dec:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1;SOV2|5|Oct:1,123;273;331;360;491,f625172cf7d9ff2c,200,1-500,501-1500
1,7,27231662.263412967,9928525.0,17303137.26341209,345000.0,9056250.0,527275.0,16641101.609171871,255946.57415085437,406089.08009021846,323.3020489215851,,,,,,,,,,,,,,,,,0.017914036656262837,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,145;153;268;295;367;459;471,f625172cf7d9ff2c,200,1-500,501-1500
1,10,28986188.207130462,9367900.0,19618288.207135297,690000.0,8150625.0,527275.0,18936504.087536514,221676.74330468595,460107.37628941867,2901.823493003845,,,,,,,,,,,,,,,,,0.015896402950516503,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:2;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Mar:1;CTV|5|Nov:2;CTV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,17;34;53;83;96;294;351;375;417;436,f625172cf7d9ff2c,200,1-500,501-1500
1,15,28527051.176826417,9928525.0,18598526.176820498,345000.0,9056250.0,527275.0,17953383.91315569,243172.77126897906,401969.4924015817,1768.4977049827576,,,,,,,,,,,,,,,,,0.017901643546042484,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Mar:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,30;39;77;83;186;219;221;228;272;324;339;348;428;449;473,f625172cf7d9ff2c,200,1-500,501-1500
1,20,29597959.816491462,12170450.0,17427509.816485476,1380000.0,9961875.0,828575.0,16805290.61636414,233995.6545084353,388223.5456189376,14400.972057819366,,,,,,,,,,,,,,,,,0.04401951033858863,True,9,TIME_LIMIT,solution_within_gap,False,,5:1,CTV|5:3;SOV|5:1,SOV|5|Dec:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Jan:1,23;48;51;71;84;94;101;129;208;218;325;332;336;363;392;446;457;467;493;496,f625172cf7d9ff2c,200,1-500,501-1500
2,1,27528705.38184566,11490800.0,16037905.381845694,1380000.0,9056250.0,1054550.0,15392565.45280141,268428.76881360327,376911.16023064416,24.91108512878418,,,,,,,,,,,,,,,,,0.01996774066178192,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,SOV|5|Jan:2,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1;SOV3|5|Jan:1,381,f625172cf7d9ff2c,200,1-500,501-1500
2,3,33216735.94755346,11900200.0,21316535.947553452,1638750.0,9056250.0,1205200.0,20652340.854574975,257507.8076648904,406687.28531361505,84.63004207611084,,,,,,,,,,,,,,,,,0.018236414644181687,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:2;CTV|5|Jan:1;SOV|5|Feb:2,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Feb:1;SOV3|5|Feb:1,137;359;384,f625172cf7d9ff2c,200,1-500,501-1500
2,5,27787439.653392196,8612925.0,19174514.65339072,6123750.0,1811250.0,677925.0,18388502.998686425,484389.31320008094,301622.34150563495,653.5389068126678,,,,,,,,,,,,,,,,,0.019999011976309006,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2,CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:2;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,125;196;285;436;473,f625172cf7d9ff2c,200,1-500,501-1500
