tree_size,count,instances,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,param_signature,seed,iss_pool,oos_pool,iss_file
1,1,1,28655317.734427337,9454150.0,19201167.734427426,776250.0,8150625.0,527275.0,18531323.840945564,240981.97402528627,428861.9194564883,2.0201611301898956,0.008226137963526841,5:1,CTV|5:1;SOV|5:1,CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Jan:2;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_max_streak_under_4_ISS.csv
1,2,2;10,29872808.444359556,11490800.0,18382008.444359675,1380000.0,9056250.0,1054550.0,17741526.968041733,249312.04400505227,391169.43231281254,1.657330096244812,0.00928061556084637,5:1,CTV|5:2;SOV|5:1,SOV|5|Jan:2,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1;SOV3|5|Jan:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_max_streak_under_4_ISS.csv
1,1,3,29541396.329509858,8149475.0,21391921.329509962,6641250.0,905625.0,602600.0,20630023.975053027,445852.83293806354,316044.5215187844,1.4144572176933288,0.008250341527596752,5:1,CTV|5:1,CTV|5|Aug:1;CTV|5|Dec:2;CTV|5|Jan:1;CTV|5|Jul:2;CTV|5|Jun:2;CTV|5|May:2;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Apr:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_max_streak_under_4_ISS.csv
1,2,4;17,29191633.87304513,10262025.0,18929608.873045214,1207500.0,8150625.0,903900.0,18277254.603182387,210201.37051436782,442152.89934840205,2.148561012506485,0.00841639991859796,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:2;CTV|5|Jan:2;CTV|5|Nov:1;CTV|5|Sep:1;SOV|5|Feb:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Feb:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_max_streak_under_4_ISS.csv
1,1,5,29435714.845581435,10348275.0,19087439.84558152,1293750.0,8150625.0,903900.0,18419695.14488856,246779.5190878466,420965.1816050321,1.9234117913246154,0.008159418557662328,5:1,CTV|5:1;SOV|5:1,CTV|5|Aug:1;CTV|5|Dec:6;CTV|5|Jan:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:2;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_max_streak_under_4_ISS.csv
1,1,6,29255110.667513337,10014200.0,19240910.66751344,1035000.0,8150625.0,828575.0,18586362.31707447,209057.92318229473,445490.42725659366,2.188973187446594,0.00923288827529608,5:1,CTV|5:1;SOV|5:1,CTV|5|Feb:1;CTV|5|Mar:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_max_streak_under_4_ISS.csv
1,1,7,29543516.99178431,11728275.0,17815241.991784327,2673750.0,8150625.0,903900.0,17222720.13363876,187554.78987135817,404967.0682741493,2.0584165427684784,0.008007415817265318,5:1,CTV|5:1;SOV|5:1,CTV|5|Aug:1;CTV|5|Dec:2;CTV|5|Feb:1;CTV|5|Jan:2;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1;SOV2|5|Oct:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_max_streak_under_4_ISS.csv
1,1,8,29030814.29572838,10025125.0,19005689.295728378,1121250.0,8150625.0,753250.0,18353695.188360505,209310.40247863714,442683.7048892002,2.166806312561035,0.008778317210518595,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Nov:1;CTV|5|Oct:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Nov:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_max_streak_under_4_ISS.csv
1,1,9,28487628.27984683,9206325.0,19281303.279846925,603750.0,8150625.0,451950.0,18613622.20351087,232699.48334403132,434981.5929919333,2.069078095436096,0.00834403584396959,5:1,CTV|5:1;SOV|5:1,CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_max_streak_under_4_ISS.csv
1,1,11,28478511.46722577,9206325.0,19272186.46722581,603750.0,8150625.0,451950.0,18604704.471287772,231897.34379790217,435584.6521400119,2.065858839273453,0.008070989822086112,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Mar:1;CTV|5|Nov:1;CTV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_max_streak_under_4_ISS.csv
