instance_id,tree_size,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,MIP_runtime,Con_total runtime,Con_eta runtime,Con_gamma_LT_runtime,Con_gamma_ST_runtime,Con_Master_runtime,Con_eta_n_iters,Con_eta_vars_fixed,Con_eta_judges_solved_min,Con_eta_gap_p90_max,Con_eta_unanimous_count,Con_gamma_LT_n_iters,Con_gamma_LT_vars_fixed,Con_gamma_LT_judges_solved_min,Con_gamma_LT_gap_p90_max,Con_gamma_LT_unanimous_count,Con_fix_history_json,MIPGap,has_solution,solve_status_code,solve_status,solve_outcome,gap_pruned,optimize_error,eta,gamma_LT,gamma_ST,alpha,scenarios,param_signature,seed,iss_pool,oos_pool
1,1,30528800.932017364,11437325.0,19091475.93201747,1552500.0,9056250.0,828575.0,18445476.50149026,235225.76856887952,410773.6619582178,9.765395879745483,,,,,,,,,,,,,,,,,0.019412745049718672,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Feb:1;CTV|5|Mar:1;SOV|5|Feb:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Feb:1;SOV2|5|Jan:1,20,f625172cf7d9ff2c,200,1-500,501-1500
1,3,29639865.52150009,11437325.0,18202540.52150009,1552500.0,9056250.0,828575.0,17573721.582723815,232047.94212763428,396770.9966486503,99.98236584663391,,,,,,,,,,,,,,,,,0.019704799534203232,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Nov:1;SOV|5|Feb:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Feb:1;SOV2|5|Jan:1,118;323;332,f625172cf7d9ff2c,200,1-500,501-1500
1,5,26728195.138023354,9508200.0,17219995.138022307,0.0,9056250.0,451950.0,16564349.632200038,242392.9889294263,413252.51689386,234.5974531173706,,,,,,,,,,,,,,,,,0.017790566844105793,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,89;218;270;287;445,f625172cf7d9ff2c,200,1-500,501-1500
1,7,33829280.1182697,12127325.0,21701955.11827127,2242500.0,9056250.0,828575.0,21096987.823554516,219162.95888965056,385804.33582550794,390.7585129737854,,,,,,,,,,,,,,,,,0.018251672589895636,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Nov:1;CTV|5|Oct:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Feb:1;SOV2|5|Jan:1,31;179;185;224;336;349;498,f625172cf7d9ff2c,200,1-500,501-1500
1,10,27527077.08229441,10499500.0,17027577.08229404,690000.0,9056250.0,753250.0,16403465.179370243,226732.90061388715,397379.0023103813,3383.398026943207,,,,,,,,,,,,,,,,,0.018322343922251058,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,SOV|5|Dec:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,36;57;71;223;251;260;334;375;393;426,f625172cf7d9ff2c,200,1-500,501-1500
1,15,29369313.5588815,9842275.0,19527038.558875713,258750.0,9056250.0,527275.0,18859126.00249366,244317.08978852638,423595.4665991764,1495.76580286026,,,,,,,,,,,,,,,,,0.019947453463028272,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1;CTV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,18;90;131;229;275;305;323;325;349;356;363;377;406;412;447,f625172cf7d9ff2c,200,1-500,501-1500
1,20,27627331.340882532,10014775.0,17612556.340876024,431250.0,9056250.0,527275.0,16952381.29889612,254602.23976279347,405572.8022236117,14261.610729932785,,,,,,,,,,,,,,,,,0.019892919643339346,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:1;CTV|5|Nov:1;CTV|5|Oct:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,24;43;64;88;110;116;118;145;219;224;240;291;292;312;405;409;467;480;491;495,f625172cf7d9ff2c,200,1-500,501-1500
2,1,27299393.303573404,11307950.0,15991443.303573446,2328750.0,8150625.0,828575.0,15408230.677399911,219455.9976181509,363756.628555334,20.93452000617981,,,,,,,,,,,,,,,,,0.0167093265723108,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:1;SOV|5:1,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Dec:1;CTV|5|Feb:1;CTV|5|Jan:2;CTV|5|Jul:1;CTV|5|Mar:1;CTV|5|Nov:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,212,f625172cf7d9ff2c,200,1-500,501-1500
2,3,24882728.48060493,9992925.0,14889803.480604894,258750.0,9056250.0,677925.0,14221136.580290204,253119.00820404512,415547.8921106821,63.69804000854492,,,,,,,,,,,,,,,,,0.011281222250037436,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:3,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,47;373;492,f625172cf7d9ff2c,200,1-500,501-1500
2,5,25302082.61275667,9508200.0,15793882.612756,0.0,9056250.0,451950.0,15145055.831325866,246858.35255359265,401968.4288771677,227.61642217636108,,,,,,,,,,,,,,,,,0.01661574254113,True,2,OPTIMAL,solution_within_gap,False,,5:1,CTV|5:2;SOV|5:1,,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,63;128;150;253;269,f625172cf7d9ff2c,200,1-500,501-1500
