tree_size,count,instances,objective,first_stage_cost,second_stage_cost,charter_cost_ST,charter_cost_LT,charter_cost_mob,downtime_cost,travel_cost_S,travel_cost_M,runtime,MIPGap,eta,gamma_LT,gamma_ST,alpha,param_signature,seed,iss_pool,oos_pool,iss_file
1,1,1,28577075.924393903,9756025.0,18821050.92439396,172500.0,9056250.0,527275.0,18164324.374354467,264344.41717924434,392382.132860208,1.5927390341758727,0.0098126362494051,5:1,CTV|5:2;SOV|5:1,CTV|5|Dec:1;CTV|5|Jan:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_total_ww_hours_ISS.csv
1,2,2;10,29361864.14369017,10542625.0,18819239.14369023,1638750.0,8150625.0,753250.0,18190670.277797047,193598.53503410282,434970.3308589668,2.2536123869419096,0.008966398809065365,5:1,CTV|5:1;SOV|5:1,CTV|5|Aug:1;CTV|5|Oct:1;CTV|5|Sep:1;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_total_ww_hours_ISS.csv
1,1,3,31151025.909820516,8073575.0,23077450.90982061,5433750.0,1811250.0,828575.0,22297306.29666193,522810.02411942073,257334.5890391718,1.0471384406089783,0.008931001095931418,5:1,CTV|5:2,CTV|5|Apr:1;CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|Mar:1;CTV|5|May:1;CTV|5|Sep:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_total_ww_hours_ISS.csv
1,2,4;17,30179107.674642883,10789875.0,19389232.674642965,7848750.0,1811250.0,1129875.0,18694267.39177477,389709.9944143327,305255.28845377907,1.2396018149852752,0.009236399981591516,5:1,CTV|5:2,CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Apr:1;SOV|5|Aug:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:2;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:2;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Jan:1;SOV2|5|Oct:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_total_ww_hours_ISS.csv
1,1,5,29251973.130862065,7761350.0,21490623.130862176,5347500.0,1811250.0,602600.0,20702634.62013004,521671.439767939,266317.07096407923,1.0406791615486144,0.009070347741820821,5:1,CTV|5:2,CTV|5|Apr:2;CTV|5|Aug:1;CTV|5|Jul:1;CTV|5|Jun:1;CTV|5|May:1;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_total_ww_hours_ISS.csv
1,1,6,29550246.189019337,11835800.0,17714446.189019393,1725000.0,9056250.0,1054550.0,17099289.20365833,242345.71816492296,372811.2671960638,1.5269820363521576,0.009633878781024641,5:1,CTV|5:2;SOV|5:1,CTV|5|Jan:4;SOV|5|Dec:1;SOV|5|Nov:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_total_ww_hours_ISS.csv
1,1,7,31951479.86329572,11262525.0,20688954.86329583,7417500.0,1811250.0,2033775.0,19917716.421254378,516004.3552193165,255234.08682204408,0.9980150711536407,0.008938516560645041,5:1,CTV|5:2,CTV|5|Apr:2;CTV|5|Aug:1;CTV|5|Dec:14;CTV|5|Jul:1;CTV|5|Jun:2;CTV|5|May:1;CTV|5|Nov:1;SOV|5|Dec:2;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Mar:1;SOV|5|Nov:1;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Mar:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_total_ww_hours_ISS.csv
1,1,8,31214011.997685265,10056750.0,21157261.997685343,6210000.0,2716875.0,1129875.0,20407564.405524164,516161.0897139887,233536.502447047,0.9473675625324249,0.00937555151707967,5:1,CTV|5:3,SOV|5|Apr:1;SOV|5|Dec:2;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:2;SOV|5|Oct:1;SOV|5|Sep:1,SOV1|5|Apr:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1;SOV2|5|Dec:1;SOV2|5|Nov:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_total_ww_hours_ISS.csv
1,1,9,31912026.205380112,7017300.0,24894726.20538028,3622500.0,2716875.0,677925.0,24081083.76606265,625723.2453986692,187919.19391877585,0.7940719232559205,0.00844820582459859,5:1,CTV|5:3,CTV|5|Feb:2;SOV|5|Dec:1;SOV|5|Feb:1;SOV|5|Jan:1;SOV|5|Nov:1;SOV|5|Oct:1,SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Nov:1;SOV1|5|Oct:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_total_ww_hours_ISS.csv
1,1,11,28636268.4669561,9281650.0,19354618.466956172,603750.0,8150625.0,527275.0,18676526.05831276,223293.96908181903,454798.43956148234,2.1122892217636107,0.009235421206600763,5:1,CTV|5:1;SOV|5:1,CTV|5|Dec:2;CTV|5|Feb:2;CTV|5|Jan:2;CTV|5|Mar:1,SOV1|5|Apr:1;SOV1|5|Aug:1;SOV1|5|Dec:1;SOV1|5|Feb:1;SOV1|5|Jan:1;SOV1|5|Jul:1;SOV1|5|Jun:1;SOV1|5|Mar:1;SOV1|5|May:1;SOV1|5|Nov:1;SOV1|5|Oct:1;SOV1|5|Sep:1,f625172cf7d9ff2c,200,1-500,501-1500,mip_total_ww_hours_ISS.csv
